번호,장소,title,대상,행사일시,참가료
474,중앙,"2022년 마포중앙도서관 어린이 독서 동아리 회원 모집 안내(초등 5,6학년)",어린이, 2022.04.30~2022.11.26,"
											
												
												무료
											
										"
473,중앙,"2022년 마포중앙도서관 어린이 독서 동아리 회원 모집 안내(초등 3,4학년)",어린이, 2022.04.30~2022.11.26,"
											
												
												무료
											
										"
472,중앙,[인문학 살롱] 조선시대 여문열전 '낭중지추'_글로벌 작가 '난설헌',전연령, 2022.04.27~2022.04.27,"
											
												
												무료
											
										"
471,중앙,[제58회 도서관 주간] 쉽게 하는 글쓰기_강연,전연령, 2022.04.23~2022.04.23,"
											
												
												무료
											
										"
470,중앙,[제58회 도서관 주간] 이순신 북아트 만들기_체험,어린이, 2022.04.14~2022.04.14,"
											
												
												무료
											
										"
469,중앙,[인문학 살롱] 조선시대 여문열전 '낭중지추'_광주 이씨편,전연령, 2022.04.13~2022.04.13,"
											
												
												무료
											
										"
468,중앙,[제58회 도서관 주간] 책과 친해지는 독서법_강연,전연령, 2022.04.12~2022.04.12,"
											
												
												무료
											
										"
467,중앙,[어린이 다문화 상호이해 프로그램] (취소인원 추가 접수) 음악으로 만나는 다문화세상,어린이, 2022.04.05~2022.06.07,"
											
												
												무료
											
										"
466,중앙,[어린이 다문화 상호이해 프로그램] 음악으로 만나는 다문화세상,어린이, 2022.04.05~2022.06.07,"
											
												
												무료
											
										"
465,중앙,[인문학 살롱_서양편] 다시보는 중세이야기  (주제도서: 중세를 오해하는 현대인들에게),전연령, 2022.03.30~2022.03.30,"
											
												
												무료
											
										"
464,중앙,[인문학 살롱-우리나라편] 21세기에 돌아보는 ‘대한민국 임시정부가 역사와 헌법에 남긴 유산',전연령, 2022.03.16~2022.03.16,"
											
												
												무료
											
										"
463,중앙,[어린이자료실 재개관 기념] 서현 작가와의 만남,어린이, 2022.02.08~2022.02.08,"
											
												
												무료
											
										"
462,중앙,[어린이자료실 재개관 기념] 나만의 팝업북 만들기,어린이, 2022.02.08~2022.02.08,"
											
												
												무료
											
										"
461,중앙,[2022 겨울 독서교실] 지구를 지키는 독서탐험대,어린이, 2022.01.19~2022.01.21,"
											
												
												무료
											
										"
460,중앙,[제11회 책축제] 책장넘겨 떠나볼까? 랜선투어 - 스페인 바르셀로나,전연령, 2021.12.11~2021.12.11,"
											
												
												무료
											
										"
459,중앙,[제11회 책축제] 라이너 영화평론가 특강 <다시 듣고 보고 가다 - 영화 > ,전연령, 2021.12.11~2021.12.11,"
											
												
												무료
											
										"
458,중앙,[제11회 책축제] <다시 듣고 보고 가다 - 여행편 >김소담 여행작가 북토크 ,전연령, 2021.12.11~2021.12.11,"
											
												
												무료
											
										"
457,중앙,[제11회 책축제] 책장넘겨 떠나볼까? 랜선투어 - 비엔나 로망스 투어,전연령, 2021.12.10~2021.12.10,"
											
												
												무료
											
										"
456,중앙,[제11회 책축제] 송사비 음악크리에이터 특강 <다시 듣고 보고 가다 - 음악 > ,전연령, 2021.12.10~2021.12.10,"
											
												
												무료
											
										"
455,중앙,[제11회 책축제] 어린이를 위한 메타버스 시민교실,어린이, 2021.12.10~2021.12.10,"
											
												
												무료
											
										"
454,중앙,[제11회 책축제]' 학교 가는 길' 관람 & 김정인 감독 특강 <다시 듣고 보고 가다 - 영화 > ,전연령, 2021.12.10~2021.12.10,"
											
												
												무료
											
										"
453,중앙,"[제11회 책축제] 빛소리 친구들 공연, 김성호 감독 특강 <다시 듣고 보고 가다 - 공연& 영화 > ",전연령, 2021.12.09~2021.12.09,"
											
												
												무료
											
										"
452,중앙,[제11회 책축제] 책장넘겨 떠나볼까? 랜선투어 - 마카오 인사이드,전연령, 2021.12.09~2021.12.09,"
											
												
												무료
											
										"
451,중앙,[북스타트] 2021 마포구 서울북스타트 어린이집용 책꾸러미 단체신청(추가)(오전 9시부터 접수 가능),전연령, 2021.11.30~2021.12.03,"
											
												
												무료
											
										"
450,중앙,[◆대면][북스타트] 11월 스토리텔링이 있는 북스타트 데이 (3차시:11월24일),성인, 2021.11.24~2021.11.24,"
											
												
												무료
											
										"
449,중앙,[◆대면][북스타트] 11월 스토리텔링이 있는 북스타트 데이 (2차시:11월17일),성인, 2021.11.17~2021.11.17,"
											
												
												무료
											
										"
448,중앙,[◆대면][어린이 다문화 상호이해 프로그램2] 옛이야기 전래놀이(추가모집),어린이, 2021.11.12~2021.11.19,"
											
												
												무료
											
										"
447,중앙,"[★온라인강연][2021년 평화 1번지 마포] 역사 속에서 찾은 북한의 맛, 통일식당 개성밥상",전연령, 2021.11.10~2021.11.10,"
											
												
												무료
											
										"
446,중앙,[◆대면][북스타트] 11월 스토리텔링이 있는 북스타트 데이 (1차시:11월10일),성인, 2021.11.10~2021.11.10,"
											
												
												무료
											
										"
445,중앙,[★온라인강연][2021년 평화 1번지 마포] 음식을 통해 본 통일,전연령, 2021.11.04~2021.11.04,"
											
												
												무료
											
										"
444,중앙,"[◆대면] 어르신 디지털 리터러시-똑똑, 스마트폰 활용",전연령, 2021.11.04~2021.12.14,"
											
												
												무료
											
										"
443,중앙,[★온라인강연][지혜의도서관] 인류세와 미술 (12회차강연),전연령, 2021.11.03~2021.11.03,"
											
												
												무료
											
										"
442,중앙,[★온라인강연][한국어문학과 포노사피엔스4] 포노사피엔스의 워라밸이란,전연령, 2021.10.28~2021.10.28,"
											
												
												무료
											
										"
