번호,장소,title,대상,행사일시,참가료
414,중앙,[★온라인강연] 마포중앙도서관X소극장 산울림「우리가 사랑한 영미고전」 1회차강연,고등학생 이상 40명, 2021.07.22~2021.07.22,무료
413,중앙,"[★온라인강연][지혜의도서관] 과학의 시대, 생명윤리학의 역할 (4회차강연)",고등학생 이상 60명, 2021.07.21~2021.07.21,무료
412,중앙,[지혜의도서관] 뇌과학과 인공지능은 같은 학문일까(3회차강연),고등학생 이상 60명, 2021.07.07~2021.07.07,무료
411,중앙,[온라인] 작지만 확실한 행복 북스타트 소확행 그림책 테라피,양육자, 2021.07.07~2021.07.28,무료
410,중앙,2021년 어르신 독서 동아리 '책으로활짝 60+'(2021 큰글자책숲 여행),➀행정상의 주소가 마포구이고 ➁만 65세 이상인 마포구 관내 어르신 15명, 2021.07.06~2021.12.28,무료
409,중앙,[어린이 다문화 상호이해 프로그램2] 옛이야기 전래놀이,7가족 (7~9세 어린이+보호자 각1명으로 구성), 2021.07.01~2021.07.22,무료
408,중앙,[★온라인 전환 2021 마중도 리딩튜터] 꼬리에 꼬리를 무는 독서단 초등부 ,초등 3~4학년, 2021.07.01~2021.08.19,무료
407,중앙,[북스타트] 6월 스토리텔링이 있는 북스타트 데이,5세 이하 자녀 1명 + 보호자 1명 (5팀), 2021.06.29~2021.06.29,무료
406,중앙,“나의 인생을 영상자서전으로 만들기” 특강,중장년층 및 어르신 30명, 2021.06.23~2021.06.23,무료
405,중앙,[북스타트] 심화 : 하루 15분 그림책 읽어주는 아빠 프로젝트,그림책 읽어주기에 관심있는 아빠, 2021.06.19~2021.06.26,무료
404,중앙,[지혜의도서관] 인공지능의 미래:슈퍼인텔리전스(2회차강연),고등학생 이상 60명, 2021.06.16~2021.06.16,무료
403,중앙,"[리터러시] 미디어가디언스 (초5,6)","초 5,6학년", 2021.06.05~2021.07.24,무료
402,중앙,[북스타트] 기본 : 하루 15분 그림책 읽어주는 아빠 프로젝트(추가모집),그림책 읽어주기에 관심있는 아빠, 2021.06.05~2021.06.12,무료
401,중앙,"[리터러시] 미디어가디언스 (초3,4)","초3,4학년", 2021.06.05~2021.07.24,무료
400,중앙,[도서관 지혜학교] 중국의 옛 노래로 배우는 즐겁게 살기의 지혜,중장년층 20명, 2021.06.04~2021.08.20,무료
399,중앙,"〈동서양 역사 속의 질병과 의학 이야기〉 한국 최초의 여의사, 박에스더 (4회차)",청소년 및 성인 30명, 2021.05.26~2021.05.26,무료
398,중앙,〈동서양 역사 속의 질병과 의학 이야기〉 중국 송대의 일상생활 속의 질병과 의학 (3회차),청소년 및 성인 30명, 2021.04.28~2021.04.28,무료
397,중앙,[지혜의도서관] 우리는 어떻게 이런 현재에 이르렀는가(1회차강연),고등학생 이상 60명, 2021.04.21~2021.04.21,무료
396,중앙,[제57회 도서관 주간 행사] 책방 속 마법 우체국(비대면 라이브 공연),5~8세 어린이 100명, 2021.04.17~2021.04.17,무료
395,중앙,"마중도  어린이 북큐레이터 (초5,6)",초등학교 5~6학년 15명, 2021.04.09~2021.06.25,무료
394,중앙,[어린이 다문화 상호이해 프로그램] 음악으로 만나는 다문화세상,내국인 및 이주민 초등학생 1~2학년, 2021.04.07~2021.06.24,무료
393,중앙,★ 추가모집 - 〈동서양 역사 속의 질병과 의학 이야기〉 백신의 글로벌 확산과 두창의 박멸 (2회차),청소년 및 성인 30명, 2021.03.31~2021.03.31,무료
392,중앙, '아티스트웨이' 프로그램,30~50대 성인, 2021.02.27~2021.05.15,무료
391,중앙,〈동서양 역사 속의 질병과 의학 이야기〉 두창과 인류 최초의 백신 (1회차),청소년 및 성인 15명, 2021.02.24~2021.02.24,무료
