lib,title,target
암사,[모집] 암사도서관 <너른마음 책놀이> 참여자 모집,대상 : 초등학생 1~2학년
암사,[모집] 8월 암사도서관 '찾아가는 50+ 상담' (15~16시),대상 : 신중년(50+)
암사,[모집] 8월 암사도서관 '찾아가는 50+ 상담' (14~15시),대상 : 신중년(50+)
성내,[다문화인식개선] 그림책과 함께하는 세계시민 교육 추가 모집,대상 : 초등 3~4학년
천호,천호해결단 3기 요원 모집(견학·이용자교육)_6~7세,대상 : 6~7세
둔촌,[ESG체험_환경특화] 둔촌도서관 숲속곤충탐험대 (B팀),대상 : 유‧초등 가족 5팀
둔촌,[ESG체험_환경특화] 둔촌도서관 숲속곤충탐험대 (A팀),대상 : 유‧초등 가족 5팀
성내,그림책으로 떠나는 감정여행 (8/9 자존감),대상 : 초등 2~3학년
천호,[모집] 커뮤니티 멘토링 : 이선희 대표와 함께하는 미디어융합독서 생각나누기,대상 : 초등 4~5학년
해공,[디지털배움터] 사진을 돋보이게 만들어주는 앱 교육,대상 : 신중년(50+)
해공,[디지털배움터] 회장님도 아닌데 개인 비서 두기,대상 : 신중년(50+)
해공,[디지털배움터] 초보자도 가능한 엑셀 전문가,대상 : 신중년(50+)
해공,[디지털배움터] 쉽게 만드는 나만의 디자인 미리캔버스,대상 : 신중년(50+)
성내,그림책으로 떠나는 감정여행 (8/4 욕심),대상 : 초등 3~4
해공,[모집] '이후북스'와 함께하는 독립출판 특강 <독립출판가이드 AtoZ>,대상 : 청소년 이상
해공,[디지털배움터] 온라인 쇼핑 어렵지 않아요,대상 : 신중년(50+)
해공,[디지털배움터] 삶의 질을 200% 높여주는 디지털 세상,대상 : 신중년(50+)
해공,[모집] '이후북스'와 함께하는 책방 운영 특강  <책방이 하고 싶어서>,대상 : 청소년 이상
천호,[모집] 온마을i 커뮤니티 멘토커뮤니티 멘토링 : 우리가치 정원놀이 (아동),대상 : 초등 4~6학년
암사,추가모집_2022 도서관 길 위의 인문학 <우리를 위로하는 미술 이야기> ,대상 : 지역주민  
암사,[모집] 암사도서관 점자도서 입력 자원활동가 <책굽는 타자기> 회원 모집,대상 : 대학생 및 성인
성내,"[그림책 특화] 성내도서관 <그림책, 작가와 만나다> 8월 강연",대상 : 성인
강일,[모집] 2022년 도서관 길 위의 인문학 <가족이 함께 책 읽는 강일도서관> 3부,"대상 : 1, 2부 참여가족"
성내,그림책으로 떠나는 감정여행 (8/2 분노),대상 : 초등 3~5
성내,그림책으로 떠나는 감정여행 (7/28 감사),대상 : 초등 1~6
둔촌,"[모집] 나야 나, 독립출판 (독립출판물 바로 알기 강의)",대상 : 성인 10명 선착순
해공,[모집] 해공도서관 긴긴밤 하브루타 독서토론 (대상변경),대상 : 초등학생 3~6학년
강일, [모집]강일도서관 <50+ 독서스터디> 커뮤니티 추가 회원 모집 ,대상 : 50세 이상
해공,[모집] 폐현수막 업사이클링 반려동물 산책가방 만들기,대상 : 성인
성내,[모집] 2022 한 주제로 함께 읽기 <하브루타 독서토론>,대상 : 초등학생 4~6학년
성내,그림책으로 떠나는 감정여행 (7/26 사랑),대상 : 초등 1~2
해공,[모집] 십자말게임으로 알아보는 도서관의 모든 것!,대상 : 초등학생 3~4학년
성내,[장애인식개선] 그림책과 함께하는 기초수어배우기,"대상 : 가족 6팀(부모1명, 초등1명)"
강일,"[모집] 2022년 강일도서관 여름 독서교실 - [ESG체험] 「바로, 지금, 나부터!  제로웨이스트 학생 실천단」",대상 : 초등학생 3-4학년
천호,[모집] 2022 천호도서관 텃밭 커뮤니티 모집,대상 : 성인
천호,[문화가있는날] 사서's 책놀이 - 부채 만들기,대상 : 6~7세
강일,[모집] 2022 한 주제로 함께 읽기 <하브루타 독서토론>,대상 : 초등학생 4~6학년
둔촌,[모집] 2022 한 주제로 함께 읽기 <하브루타 독서토론>,대상 : 초등학생 3~6학년
해공,[신중년 특화 프로그램] 7월 신중년 1:1 취업 상담 ,대상 : 신중년(50+)
해공,"[디지털배움터] 사진을 돋보이게 만들어주는 앱 (3,4주차)",대상 : 신중년(50+)
해공,"[디지털배움터] 회장님도 아닌데 개인 비서 두기 (3,4주차)",대상 : 신중년(50+)
성내,[다문화인식개선] 그림책과 함께하는 세계시민 교육 추가모집,대상 : 초등 3 ~ 4
성내,여름에도 시를 읽어야지,대상 : 시를 읽고 싶은 사람 누구나 선착순
성내,그림책으로 떠나는 감정여행 (7/22 행복),대상 : 초등 3~4
둔촌, [추가모집] 2022년 도서관 길 위의 인문학 <기억을 담은 공간 - 우리동네 기억저장소 공간발전소>,"대상 : 사진 엽서, 사진 에세이 제작 관심 있는 성인 10명"
해공,[모집] 2022 한 주제로 함께 읽기 <하브루타 독서토론>,대상 : 초등학생 4~6학년
강일,"[7월 문화가 있는 날] 「하하 호호 웃어보자, 힐링 웃음치료」",대상 : 성인 
둔촌,[모집] 2022 미디어교육 평생교실  「뉴스가 쏙쏙 생각이 쑥쑥 미디어 리터러시」 (초등3~4학년),대상 : 초등학교 3~4학년
성내,그림책으로 떠나는 감정여행 (7/21 슬픔),대상 : 초등 1~3
성내,그림책으로 떠나는 감정여행 (7/19 즐거움),대상 : 초등1~2학년
둔촌,[환경 특화] 헌책줄게 새책다오,대상 : 초등 3~4학년
천호,[모집] 온마을i 커뮤니티 멘토커뮤니티 멘토링 : 우리가치 정원놀이 (성인),대상 : 성인
둔촌,[장애인식개선 프로그램] 눈을 감고 나무를 만져 보세요 (송혜승 저자 강연),대상 : 초등 3~4학년
강일,[추가모집] 2022년 도서관 길 위의 인문학 <가족이 함께 책 읽는 강일도서관> 2부,대상 : 초등고학년 및 중등 자녀와 부모
해공,도서관 지혜학교 「지적인 클래식 음악 듣기」,대상 : 신중년(50+)
천호,천호해결단 2기 요원 모집(견학·이용자교육)_6~7세,대상 : 6~7세
천호,[대상변경] 2022년 한 주제로 함께 읽기 <하브루타 독서토론>,대상 : 초등학생 3~6학년
성내,성내 1:1 창업 상담 [7월],대상 : 성인
성내,창업 성공 멘토 특강 [7월],대상 : 성인
성내,"[그림책 특화] 성내도서관 <그림책, 작가와 만나다> 7월 강연 ",대상 : 성인
암사,[추가모집] 고학년 다문화 프로그램 <미술로 떠나는 세계여행> ,대상 : 초등 고학년(4~6학년)
해공,[디지털배움터] 사진을 돋보이게 만들어주는 앱 교육,대상 : 신중년(50+)
해공,[디지털배움터] 회장님도 아닌데 개인 비서 두기,대상 : 신중년(50+)
해공, [디지털배움터] 파워포인트 초·중급 교육,대상 : 신중년(50+)
해공,[디지털배움터] 동영상 편집 교육,대상 : 신중년(50+)
천호,"[모집] 커뮤니티 멘토링 : 이지현 작가와 함께하는 성인강좌 (성인 책놀이, 예술활동 경험)",대상 : 성인
천호,"[모집] 커뮤니티 멘토링 : 이지현 작가와 함께하는 아동강좌 (그림책 연극, 예술 놀이)",대상 : 9~10세 아동
암사,[모집] 2022년 한 주제로 함께 읽기 <하브루타 독서토론>,대상 : 초등학생 4~6학년
해공,[신중년 특화 프로그램] 신중년 친화 직종 교육,대상 : 신중년(50+)
둔촌,[모집] 2022년 둔촌도서관 도서관 지혜학교 「현대시로 배우는 공감의 지혜」,대상 : 40대 이상 성인 15명
둔촌,[모집] 그림엽서로 떠나는 건축 역사 여행,대상 : 성인 선착순 10명
강일, [모집] 독서문화커뮤니티 「오후의 심리학 북카페」 신규 회원 모집 (시간 변경),대상 : 청년(만18~39세)
강일,[모집] 독서문화커뮤니티 「우리동네 에코살롱」 신규 회원 모집 (시간변경),대상 : 성인
강일,[모집] 2022년 도서관 길 위의 인문학 <가족이 함께 책 읽는 강일도서관> 2부,대상 : 초등고학년 및 중등 자녀와 부모
해공,[신중년 특화 프로그램] 6월 신중년 1:1 취업 상담 ,대상 : 신중년(50+)
천호,[문화가있는날] 사서's 책놀이 - 나만의 캠핑장 만들기,대상 : 6~7세
천호,[특화-작가멘토링] 그림책 큐레이션 <황진희 작가와 함께하는 좋은 그림책 고르는 법>,대상 : 양육자 20명
둔촌,"[문화강좌] 향기로운 힐링, 드립커피(취미반)",대상 : 성인
둔촌,[문화강좌] 감성힐링 수채캘리그라피,대상 : 성인
둔촌,[문화강좌] 독서심리상담사 2급 자격과정 (심화),대상 : 성인
강일,[6월 문화가 있는 날] 「말이 '시'가 되고 시가 '노래'가 되는 말놀이」,대상 : 6~7세
강일,[모집]강일도서관 <독서교우> 커뮤니티 추가 회원 모집,대상 : 성인
해공,[디지털배움터] 동영상 편집 교육,대상 : 신중년(50+)
암사,[신중년 인문학] 도서관 지혜학교「공연예술과 영상문화를 통해 살펴보는 나와 타인의 삶」,대상 : 50세 이상 성인 20명
강일,[추가모집] 2022년 도서관 길 위의 인문학 <가족이 함께 책 읽는 강일도서관>,대상 : 미취학 아동 및 초등저학년 자녀와 부모
천호,[모집] 슬기로운 방학생활 part 1. 슬기로운 여름방학 | 우리아이 독서습관 만들기  ,대상 : 초등 저학년 양육자 20명
해공, [디지털배움터] 나만의 캐릭터로 초간단 동영상 만들기,대상 : 신중년(50+)
해공, [디지털배움터] 앱과 함께 떠나는 빠르고 즐거운 여행,대상 : 신중년(50+)
해공,[디지털배움터] 삶의 질을 200% 높여주는 스마트폰 기초 교육,대상 : 신중년(50+)
해공,[디지털배움터] 파워포인트 기초 교육,대상 : 신중년(50+)
암사,[고학년] 2022 다문화 프로그램 「미술로 떠나는 세계여행」,대상 : 초등 고학년
암사,[저학년] 2022 다문화 프로그램 「미술로 떠나는 세계여행」,대상 : 초등 저학년
성내,성내 1:1 창업 상담 [6월],대상 : 성인
해공,[신중년 특화 프로그램] 신중년 기초노무 특강,대상 : 신중년(50+)
해공,[신중년 특화 프로그램] 신중년 취업 준비 교육,대상 : 신중년(50+)
천호,천호해결단 2기 요원 모집(견학·이용자교육),대상 : 8~9세
천호,[일정변경] 천호도서관 빅데이터 도서추천단 1기 단원모집,대상 : 초등 3-6학년
둔촌,[ESG체험_환경특화] 둔촌도서관 숲속곤충탐험대 (B팀),대상 : 유‧초등 가족 5팀
둔촌,[ESG체험_환경특화] 둔촌도서관 숲속곤충탐험대 (A팀),대상 : 유‧초등 가족 5팀
해공,[2022년 도서관 길 위의 인문학] 나만의 그림책 자서전 만들기,대상 : 신중년(50+)
해공,[디지털배움터] 카카오톡 기본 교육 ,대상 : 신중년(50+)
해공,[디지털배움터] 사진으로 검색하기 ,대상 : 신중년(50+)
성내,"[그림책 특화] 성내도서관 <그림책, 작가와 만나다> 6월 강연",대상 : 성인
둔촌,[추가모집] 2022년 도서관 길 위의 인문학 <기억을 담은 공간 - 우리동네 기억저장소 공간발전소>,대상 : 사진엽서 및 독립출판물 제작에 관심있는 성인 15명
천호,"[모집] 온마을i 커뮤니티 멘토커뮤니티 멘토링 : 생각나누기 언니, 오빠들과 함께하는 재능기부 책놀이 추가모집",대상 : 6~7세
강일,2022년 도서관 길 위의 인문학 <가족이 함께 책 읽는 강일도서관>,대상 : 미취학 아동 및 초등저학년 자녀와 부모
둔촌,[힐링 특화] 나를 찾는 힐링 여행 (에니어그램 성격 검사를 통한 마음 치유 프로그램),대상 : 성인 15명
해공,[디지털배움터] 스마트폰 사진 찍기 기초 월요반,대상 : 신중년(50+)
강일,[5월 문화가 있는 날] 「청소년을 위한 나를 디자인하는 퍼스널 브랜딩」,대상 : 청소년 (14세-19세)
해공,[디지털배움터] 스마트폰 사진 찍기 기초 금요반,대상 : 신중년(50+)
천호,[문화가있는날] 사서's 책놀이 - 훌라후프 신체놀이,대상 : 6~7세
천호,[모집] 천호도서관 어린이달 기념 <그림책 요가놀이> B타임,대상 : 5~7세 어린이 1명 + 부모중 1명 (가족 1팀)
천호,[모집] 천호도서관 어린이달 기념 <그림책 요가놀이> A타임,대상 : 5~7세 어린이 1명 + 부모중 1명 (가족 1팀)
성내,"2022 도서관 길 위의 인문학 <나의 삶, 대본이 되다>",대상 : 성인
천호,"[모집] 온마을i 커뮤니티 멘토커뮤니티 멘토링 : 생각나누기 언니, 오빠들과 함께하는 재능기부 책놀이 (3회)",대상 : 6~7세
성내,그림책으로 떠나는 감정여행 (5/19 자신감),대상 : 6~7세
해공,[디지털배움터] 스마트폰 이용하여 길 찾기,대상 : 신중년(50+)
강일,[모집]강일도서관 북뮤지컬 희희낙락 추가모집,대상 : 초등학생 3학년
성내,"그림책으로 떠나는 감정여행 (5/17 성장, 용기)",대상 : 초등1~2학년
성내,그림책으로 떠나는 감정여행 (6/8 호기심),대상 : 초등1~2학년
천호,[모집] 온마을i 커뮤니티 멘토커뮤니티 멘토링 : 동네북과 함께하는 그림책 놀이 (나만의 자동차 만들기) 8~9세반,대상 : 8~9세
천호,[모집] 온마을i 커뮤니티 멘토커뮤니티 멘토링 : 동네북과 함께하는 그림책 놀이 (나만의 자동차 만들기) 6~7세반,대상 : 6~7세
해공,"多잇다,스리랑카(다문화 인식개선 프로그램 2차)",대상 : 초등학교 저학년 10명
해공,"多잇다,사랑(다문화 인식개선 프로그램 1차)",대상 : 초등학교 저학년 10명
