"행정구역(동읍면)별","항목",2022.07,2022.07,2022.07,2022.07,2022.07,2022.07,2022.07,2022.07,2022.07,2022.07,2022.07,2022.07,2022.07,2022.07,2022.07,2022.07,2022.07,2022.07,2022.07,2022.07,2022.07,2022.07
"행정구역(동읍면)별","항목",계,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80 - 84세,85 - 89세,90 - 94세,95 - 99세,100+
"강원도","총인구수 (명)",1539178,41382,56814,65238,67229,86239,86069,78196,82846,104189,113955,133466,130660,149908,113335,73870,63780,53308,26512,9489,2333,360
"강원도","남자인구수 (명)",774387,21128,29144,33637,35136,48126,48755,42121,43003,52813,58458,69585,66875,74850,56697,34788,27910,20502,8220,2065,497,77
"강원도","여자인구수 (명)",764791,20254,27670,31601,32093,38113,37314,36075,39843,51376,55497,63881,63785,75058,56638,39082,35870,32806,18292,7424,1836,283
"충청북도","총인구수 (명)",1597163,45717,66717,73818,71916,89671,101444,91194,97216,115757,121578,138508,131462,141748,104451,69567,54074,46207,25937,8163,1720,298
"충청북도","남자인구수 (명)",811286,23434,34029,38051,37480,48821,57555,50396,51224,60020,62799,71160,67946,71996,51988,33523,23440,17369,7844,1824,329,58
"충청북도","여자인구수 (명)",785877,22283,32688,35767,34436,40850,43889,40798,45992,55737,58779,67348,63516,69752,52463,36044,30634,28838,18093,6339,1391,240
"충청남도","총인구수 (명)",2121011,62924,93371,103575,97605,113574,120280,119933,134920,163261,164183,178143,163454,175894,130753,99922,74628,66714,40881,13748,2783,465
"충청남도","남자인구수 (명)",1085037,32225,47737,53613,50665,61884,67801,65782,71939,87089,87175,95129,86258,89837,64904,48020,32972,24978,13062,3350,548,69
"충청남도","여자인구수 (명)",1035974,30699,45634,49962,46940,51690,52479,54151,62981,76172,77008,83014,77196,86057,65849,51902,41656,41736,27819,10398,2235,396
"전라북도","총인구수 (명)",1776949,43619,70393,83204,84786,103447,98392,84287,93896,121022,136005,154254,145406,153975,117773,95629,74527,64156,36489,12726,2524,439
"전라북도","남자인구수 (명)",884164,22152,36256,42807,44105,56033,53529,44268,47954,61738,70002,80566,75267,76925,57887,44809,32032,23459,10997,2882,437,59
"전라북도","여자인구수 (명)",892785,21467,34137,40397,40681,47414,44863,40019,45942,59284,66003,73688,70139,77050,59886,50820,42495,40697,25492,9844,2087,380
"전라남도","총인구수 (명)",1825534,48027,70558,81370,80120,96103,93158,80688,93687,119791,130957,156255,156865,165755,123126,105121,85807,77903,41771,14859,3072,541
"전라남도","남자인구수 (명)",918956,24514,36037,41753,41639,53736,52293,42819,48844,63218,70108,84475,84381,85246,61656,50086,35866,27189,11473,3068,498,57
"전라남도","여자인구수 (명)",906578,23513,34521,39617,38481,42367,40865,37869,44843,56573,60849,71780,72484,80509,61470,55035,49941,50714,30298,11791,2574,484
"경상북도","총인구수 (명)",2612016,68008,102373,111207,109146,132416,134378,128182,144379,180727,193037,226866,225916,246032,193481,144394,103800,93406,52635,17539,3522,572
"경상북도","남자인구수 (명)",1317139,34963,52686,57807,57916,74701,76893,70611,75728,94173,100148,118122,117016,124557,95448,68967,44008,33572,15353,3818,588,64
"경상북도","여자인구수 (명)",1294877,33045,49687,53400,51230,57715,57485,57571,68651,86554,92889,108744,108900,121475,98033,75427,59792,59834,37282,13721,2934,508
"경상남도","총인구수 (명)",3293709,90565,147762,164386,153503,173474,176331,169816,199386,258392,265481,301660,276914,290350,214019,150987,105629,87121,48080,16344,3107,402
"경상남도","남자인구수 (명)",1658198,46442,76011,84825,80839,97260,98590,90817,103057,132900,136103,154406,141977,145770,105308,71629,44867,30477,13191,3180,496,53
"경상남도","여자인구수 (명)",1635511,44123,71751,79561,72664,76214,77741,78999,96329,125492,129378,147254,134937,144580,108711,79358,60762,56644,34889,13164,2611,349
"제주특별자치도","총인구수 (명)",678491,22160,34156,36729,33818,38040,41014,37068,42942,55040,56682,62478,54325,50632,36421,25847,20731,16164,9640,3555,836,213
"제주특별자치도","남자인구수 (명)",339951,11390,17535,19001,17751,20349,21569,18896,21375,27668,29454,32437,28245,25431,17775,12209,9161,6127,2822,671,74,11
"제주특별자치도","여자인구수 (명)",338540,10770,16621,17728,16067,17691,19445,18172,21567,27372,27228,30041,26080,25201,18646,13638,11570,10037,6818,2884,762,202
