lib,title,target
가온,시네 바캉스 IN가온마루(4회차),누구나
어울림,'젊은 ADHD의 슬픔' 정지음 작가와의 대화,"청소년,성인"
손기정문화,손기정문화도서관 <골목길 인문학> 프로그램,"청소년,성인,누구나"
신당누리,(초등 이상 양육자) 북스타트 부모교육 <우리 아이 스마트폰·인터넷 과의존 예방 교육>,성인
신당누리,(영유아 양육자) 북스타트 부모교육 <우리 아이 스마트폰·인터넷 과의존 예방 교육>,성인
어울림,나를 치유하는 글쓰기,성인
다산성곽,7월 「영화 유튜버 라이너의 철학 시사회 」작가와의대화,누구나
신당누리,여름방학 도서관에서 살아남기 1탄 <책 읽어주는 베토벤_샤갈 '황금알을 낳는 수탉'>,누구나
가온,죽음 포럼: 어떻게 죽고 어떻게 살고 싶나요? ,누구나
어울림,어울림도서관 여름나기 - 얼씨구 국악 전래동화 음악회,"영유아,어린이"
어울림,어울림도서관 여름나기 - 어린이 독서 행사,"영유아,어린이"
가온,시네 바캉스 IN가온마루(3회차),누구나
손기정문화,7월 작가와의대화 '신이 내린 필력은 없지만 잘 쓰고 싶습니다',누구나
신당누리,<너 때문에 내일 회사 가기 싫어!> 이남석 작가와의 대화,성인
어울림,"어울림도서관 북스타트 부모교육, '그림책 힐링 육아' ",성인
손기정어린이,[마감]수상한 이야기 해결사! <CSI 어린이 과학수사대>,어린이
다산성곽,여름독서교실 <30일간의 세계 일주: 출발은 도서관>,어린이
가온,7월 「문학산책 :  세계문학(미국) 작품과의 만남」 오즈의 마법사 (공연),"어린이,누구나"
장충동작은,"문해력 키우는 <하루 한 장, 쑥쑥 글쓰기>",어린이
어울림,"어울림도서관 북스타트 맞춤형 프로그램, '같은 듯 다른, 나의 황혼 육아일기' ",성인
신당누리,(마감)도서관에서 살아남기2_생각 쑥쑥~ 일기쓰기,어린이
가온,N월의 책략(7월 주간),"청소년,성인"
가온,「여름독서교실」 책읽는놀이터,어린이
남산타운어린이,[그림책 출판]나의 첫 그림책 이야기,어린이
가온,시네 바캉스 IN가온마루(2회차),누구나
신당누리,"신당누리 7월 독서모임 _다시, 책으로_ 신청",누구나
장충동작은,"추리천재, 탐정 클럽",어린이
손기정문화,[손기정문화도서관]명화 속 심리 읽기,성인
손기정어린이,[대기자 전화 접수] 그림책<우주택배>와 함께하는 별☆의 별☆ 실험,어린이
장충동작은,어린이 건축 여행 2,어린이
장충동작은,어린이 건축 여행 1,어린이
남산타운어린이,북스타트 영유아 부모교육 특강,성인
신당누리,[마감] 인문학프로그램<심리와 명리로 마음그리기>,성인
가온,(재능기부) 늘해랑 스토리텔링 - 7월: Nature Trail,어린이
신당누리,(마감) 여름독서교실 <아나운서 선생님과 함께하는 독서논술 스피치>,어린이
가온,꿈을 핑계로 글쓰기,성인
남산타운어린이,맘(MOM)스타트 태교 손바느질,성인
손기정어린이,[접수마감] 「책놀이」 안내,"영유아,성인"
신당누리,(마감)초등독서교실<같이 오래 책읽기>,어린이
가온,나도 동시작가! 시랑 나랑 친구랑,어린이
장충동작은,어린이 독서토론 <독토리> 시즌 2 ※ 중구민 우선 접수,어린이
남산타운어린이,"[남산창작발전소]#4 발전소 (초등1,2학년) ""우리두리 재미노리""",어린이
가온,(재능기부) 영어가온다 - 7월: The Heart and the Bottle 외 2권,어린이
신당누리,"<다시, 책읽기路_1강,3강 마감>독서교육 특강",성인
신당누리,<스마트폰 활용(초급) > 모집,성인
가온,독서클럽 추가모집 : 토요명작극장 3기,누구나
다산성곽,「북피크닉」 안내,누구나
가온,100일 벽돌책 읽기 : 모비딕,누구나
장충동작은,6월 수고상점 <취取향香>,성인
장충동작은,6월 장충생각 『카뮈와 사르트르』,성인
어울림,어울림도서관 6월 주민회의,성인
가온,N월의 책략(6월 주간),"청소년,성인"
장충동작은,책으로 사춘기와 소통하는 <책사이> ※중구민 우선 접수,누구나
가온,내:면산책_나의 감정과 목소리를 이야기로 담다(그림책 만들기 워크숍),성인
신당누리,[마감]그림책 '상자 세상' 윤여림 작가와의 대화,어린이
손기정문화,6월 토요예술무대 [정화예대 싱어송라이터 스테이지],누구나
가온,"6월 「문학산책 : 김하나, 황선우 작가와의 대화」","성인,누구나"
다산성곽,시끄러운 도서관 '선셋 버스킹',누구나
신당누리,(전 차시 마감) 북스타트 부모교육 <우리가족 행복레시피 '건강한 훈육법'>,성인
가온,수요 소사이어티X노동 : 말랑말랑한 노동과 좋은 일자리,성인
신당누리,6월 북로망스 <신화와 오페라> 인문학 강연 - 한국신화,누구나
손기정문화,6월 작가와의대화 '식물학자의 노트',누구나
손기정어린이,[마감]문해력을 키우는 몰입독서,성인
다산성곽,"6월 「너도, 나도 잘사는 1인가구 돈습관 」작가와의대화",누구나
남산타운어린이,[남산타운어린이도서관]진로큐레이터 전문가 과정 모집,성인
가온,영어가온다 - 6월,어린이
어울림,내가 만드는 동화 속 세상,"영유아,어린이"
어울림,"[청년독서살롱모집] 독서모임 & ""나의 중구 에세이' 제작기 모집",성인
손기정어린이,[접수마감] 「그림책 육아」 안내,성인
어울림,신나GO 즐겁GO 신박한 정리수납,성인
신당누리,6월 북로망스 <신화와 오페라> 인문학 강연 - 북유럽신화,누구나
신당누리,[홈페이지 접수마감]<미리캔버스 활용하기_나도야 디자이너>,성인
가온,늘해랑 스토리텔링 - 6월,어린이
손기정어린이,[추가모집]그림책 상상극단 Reader's Theater,어린이
남산타운어린이,"[남산창작발전소]#3 발전소 (초등4,5,6학년) 'Scene #1.' ",어린이
손기정문화,와인을 만나다,성인
신당누리,6월 북로망스 <신화와 오페라> 인문학 강연 - 중국신화,누구나
신당누리,국립어린이청소년도서관 X 신당누리도서관 「이야기가 있는 코딩」 프로그램 안내,어린이
손기정어린이,[마감]나의 첫 영어 연극 Reader's Theater,어린이
손기정어린이,[마감]그림책 상상극단 Reader's Theater,어린이
다산성곽,"다산성곽카페 함께 만들기 캠페인 「100명의 이야기, 100개의 컵들」 참여 안내",누구나
남산타운어린이,[교육봉사동아리] 재간둥이 모집,"청소년,성인"
남산타운어린이,"[초등1,2학년 독서동아리모집] 도란도란 읽어요",어린이
신당누리,[추가모집] 슬기로운 게임생활,어린이
신당누리,스마트폰 왕초보반,성인
손기정문화,"5월 작가와의대화 '어서오세요, 휴남동서점입니다'",누구나
손기정문화,5월 토요예술무대 <인문예술콘서트 : 봄에 만나는 로베르트 슈만의 삶과 가곡>,"청소년,성인,누구나"
신당누리,작가와의 만남 <내 미래의 직업은?> 강연,누구나
가온,5월 「문학산책 : 멜리 작가와의 대화」 으쌰으쌰 당근 대소동!,"어린이,누구나"
장충동작은,"5월 '장충생각' 논어, 인간의 길을 걷다","성인,누구나"
장충동작은,"5월 수고상점 <아틀리에, mai>",성인
장충동작은,어린이 독서토론 <독토리>,어린이
다산성곽, 5월 작가와의대화 '커피를 좋아하면 생기는 일',누구나
장충동작은,[일정변경 - 재모집] 그림책 상상극장 ,어린이
남산타운어린이,(5/21토) 5월 가정의 달 행사 <우리가족 팝아트 그리기>,"어린이,성인"
남산타운어린이,"[남산창작발전소]#2 발전소 (초등 3,4학년) ''나는 작가였어'",어린이
남산타운어린이,"[남산창작발전소]#2 발전소 (초등1,2학년) '나는 작가였어'",어린이
가온,북스타트 부모교육 「우리 집 그림책 세상」,성인
가온,수요 소사이어티x광고 리터러시:캠페인은 어떻게 사람의 마음을 움직일까?,"성인,누구나"
남산타운어린이,"[남산창작발전소] #1 발전소 (초등3,4학년대상) '친구랑 함께 공연'",어린이
신당누리,"손경이 박사와 함께하는 성교육 특강 마지막 시리즈 <5단계 : 해외성교육, 성범죄사례 - '문화감수성(성문화)'>",성인
어울림,어울림도서관 어린이실 리모델링 기념 주민회의,"성인,누구나"
가온,친절한 거짓말 시 쓰기,성인
손기정문화,[손기정문화도서관] '내 인생을 담은 그림책 큐브' 모집 안내,성인
손기정문화,[손기정문화도서관] 생활밀착형 프로그램 - 노후를 위한 경제수업 ,성인
가온,5월 가온공방 : 그림책과 함께하는 가족 (중구민 우선모집),어린이
남산타운어린이,(5/6금) 어린이날X100주년 기념 <스칸디아모스 액자 만들기>,어린이
손기정문화,[손기정문화도서관] 플라워 케이크 박스 만들기,성인
신당누리,(마감) 어린이날 행사 <사탕목걸이 만들기>,어린이
장충동작은,시즌제 독서동아리 <카리스마> 동아리원 모집,"성인,누구나"
손기정문화,손기정문화도서관 토요예술무대 [에코에코(Eco-Echo) : 가야금으로 듣는 자연의 소리],누구나
가온,[2기모집] 「토요명작극장 : 서구 고전 문학을 드라마처럼 읽기」,성인
장충동작은,4월 '장충생각' 카프카 읽기,성인
신당누리,문화가 있는 날 4월 북로망스 <노랫말로 된 그림책>,누구나
장충동작은,"4월 수고상점 <바라, 봄>",성인
다산성곽, 4월 작가와의대화 '어느 책 수선가의 기록',"청소년,성인,누구나"
가온,4월 「문학산책 : 천선란 작가와의 대화」 SF문학 작가와의 대담,누구나
남산타운어린이,(4/22금) 도서관주간 행사 <이런책도 있어!-엽서 꾸미기>,어린이
다산성곽,글쓰기동아리 <다산필당> 동아리원 모집,성인
가온,권젬마의 가족상담소: 우리 아이 외모고민 어떻게 도울까?,성인
손기정문화,(4/17(일)14시)제58회 도서관 주간 행사-압화밴드 책갈피 만들기,성인
남산타운어린이,도서관주간 행사 <나만의 독서 무드등 만들기>,어린이
신당누리,"(4/16(토) 10시) 제58회 도서간 주간 행사 - 나만의 다이어리, 북바인딩 체험",어린이
가온,'취향의 독서' 두번째 시즌,성인
남산타운어린이,도서관주간 행사 <드라이플라워 캔들 & 왁스타블렛 만들기>,성인
남산타운어린이,(4/15금) 도서관주간 행사 <이런책도 있어!-엽서 꾸미기>,어린이
신당누리,"손경이 박사와 함께하는 우리아이 성교육 <4단계-자기결정권, 관계감수성 '성심리'>",성인
신당누리,"손경이 박사와 함께하는 우리아이 성교육  <4단계-자기결정권, 관계감수성 - 성심리>",성인
신당누리,"(4/14(목) 16시) 제58회 도서간 주간 행사 - 나만의 다이어리, 북바인딩 체험",어린이
손기정문화,(4/12(화)11시)제58회 도서관 주간 행사-압화밴드 책갈피 만들기,성인
남산타운어린이,가족독서동아리 1기 모집,"영유아,성인"
신당누리,(마감)슬기로운 게임생활,어린이
가온,[1기모집] 「토요명작극장 : 서구 고전 문학을 드라마처럼 읽기」,성인
어울림,중구에서 보물 찾기 시즌2,청소년
어울림,사피엔스 함께 읽기,성인
장충동작은,3월 '장충생각' (신화로 읽는) 그리스 문명사  ,성인
다산성곽,"독서동아리 '아니, 근데, 진짜' 회원 모집",성인
장충동작은,[마감] 3월 '수고상점' 나만의 라탄조명 만들기,성인
손기정문화,(3/30)머.라.밸 (Money Life Balance) 변경안내,성인
신당누리,"문화가 있는 날 3월 북로망스 <책과 음악, 그리고 명상>",누구나
손기정문화,커피동아리<문화다방> 커피 시음회,누구나
장충동작은, '동아리데이' 작가와의 대화,누구나
가온,3월 「문학산책 : 이범재 작가와의 대화」 샌드아트 공연 X 업사이클링 팝업북 전시,어린이
가온,(특강)시민예술가: 중구의 시간과 공간을 담다,누구나
손기정문화,토요예술무대 <클래식앙상블 - 해설이 있는 영화음악>,누구나
신당누리,쉽게 배우는 스마트폰 사진·영상 편집,성인
다산성곽,3월 작가와의대화 '세계의 악당으로부터 나를 구하는법' ,"청소년,성인,누구나"
신당누리,(연기 3월 18(금))손경이 박사와 함께하는 우리아이 성교육 <3단계-시대가치에 따른 젠더 감수성>,성인
어울림,[어울림도서관] 나의 독서 계획(일정 변경),성인
가온,(드로잉) 시민예술가: 중구의 시간과 공간을 담다,"성인,누구나"
신당누리,(연기 3월 12(토))신당누리도서관 개관 1주년 기념 '브레멘 음악대' 창작뮤지컬 음악극,어린이
장충동작은,[장충동작은도서관] 출발! 메타버스,어린이
손기정어린이,"[손기정어린이도서관]찾아가는 룰루랄라, 중구마을학교(전화접수)",어린이
