title,target,period
[1월] 상계Library 사진 전시,대상 : 누구나,프로그램 기간 : 2022.01.02 ~ 2022.01.29
[12월] 우와!한 상상 공간 개선 기념 행사(행사 시간 변경),대상 : 어린이 이상,프로그램 기간 : 2021.12.18 ~ 2021.12.18
[11월] 4차 북큐레이션 일상의 발견 : 김호연 작가 강연 안내,대상 : 성인,프로그램 기간 : 2021.11.10 ~ 2021.11.10
[11월] 이수현 작가와의 만남 - 슬기로운 캠핑생활,대상 : 성인,프로그램 기간 : 2021.11.06 ~ 2021.11.13
2021년 10월 야호!책놀이,대상 : 유아,프로그램 기간 : 2021.10.07 ~ 2021.11.25
[10월 마을협력프로그램] 2021 마을여행 길라잡이 프로그램 안내,대상 : 성인,프로그램 기간 : 2021.09.15 ~ 2021.09.15
[9월] 다문화 체험 교실,대상 : 초등,프로그램 기간 : 2021.09.10 ~ 2021.10.01
[9월] 노원구 한 책 읽기 작가와의 만남,대상 : 성인,프로그램 기간 : 2021.09.09 ~ 2021.09.09
"[9월] 유튜브로 보고, 듣고, 만드는 세상-없던 오늘",대상 : 성인,프로그램 기간 : 2021.09.02 ~ 2021.09.02
[8월] 당신의 가상화폐는 안녕하신가요???[비대면 강연 전환],대상 : 성인,프로그램 기간 : 2021.08.19 ~ 2021.08.19
[8월] 여름방학 노원독서교실-환경,대상 : 초등,프로그램 기간 : 2021.08.01 ~ 2021.08.31
2021년 6월 야호!책놀이,대상 : 유아 6-7세,프로그램 기간 : 2021.06.10 ~ 2021.06.24
"[2021.도서관 길위의 인문학] 인문학, 시대를 품다-포스트코로나와 4차산업혁명 시대",대상 : 청소년 및 성인,프로그램 기간 : 2021.05.27 ~ 2021.06.24
[5월] 어린이날 기념 풍선나눔 이벤트,대상 : 전체이용자,프로그램 기간 : 2021.05.04 ~ 2021.05.04
(네이버폼 신청)백신 바로알기 특강,대상 : 전체이용자,프로그램 기간 : 2021.02.17 ~ 2021.02.18
1.17(일) 1차수령(11-14시) 안심도서대출서비스,대상 : 전체이용자,프로그램 기간 : 2021.01.17 ~ 2021.01.17
"1.17(일) 2,3차수령(15-18시) 안심도서대출서비스 ",대상 : 전체이용자,프로그램 기간 : 2021.01.17 ~ 2021.01.17
1.16(토) 1차수령(11-14시) 안심도서대출서비스,대상 : 전체이용자,프로그램 기간 : 2021.01.16 ~ 2021.01.16
"1.16(토) 2,3차수령(15-18시) 안심도서대출서비스 ",대상 : 전체이용자,프로그램 기간 : 2021.01.16 ~ 2021.01.16
1.15(금) 1차수령(11-14시) 안심도서대출서비스 ,대상 : 전체이용자,프로그램 기간 : 2021.01.15 ~ 2021.01.15
"1.15(금) 2,3차수령(15-18시) 안심도서대출서비스 ",대상 : 전체이용자,프로그램 기간 : 2021.01.15 ~ 2021.01.15
1.14(목) 1차수령(11-14시) 안심도서대출서비스 ,대상 : 전체이용자,프로그램 기간 : 2021.01.14 ~ 2021.01.14
"1.14(목) 2,3차수령(15-18시) 안심도서대출서비스 ",대상 : 전체이용자,프로그램 기간 : 2021.01.14 ~ 2021.01.14
1.13(수) 1차수령(11-14시) 안심도서대출서비스 ,대상 : 전체이용자,프로그램 기간 : 2021.01.13 ~ 2021.01.13
"1.13(수) 2,3차수령(15-18시) 안심도서대출서비스 ",대상 : 전체이용자,프로그램 기간 : 2021.01.13 ~ 2021.01.13
"1.12(화) 2,3차수령(15-18시) 안심도서대출서비스",대상 : 전체이용자,프로그램 기간 : 2021.01.12 ~ 2021.01.12
1.10(일) 1차수령(11-14시) 안심도서대출서비스 ,대상 : 전체이용자,프로그램 기간 : 2021.01.10 ~ 2021.01.10
"1.10(일) 2,3차수령(15-18시) 안심도서대출서비스 ",대상 : 전체이용자,프로그램 기간 : 2021.01.10 ~ 2021.01.10
1.9(토) 1차수령(11-14시) 안심도서대출서비스 ,대상 : 전체이용자,프로그램 기간 : 2021.01.09 ~ 2021.01.09
"1.9(토) 2,3차수령(15-18시) 안심도서대출서비스 ",대상 : 전체이용자,프로그램 기간 : 2021.01.09 ~ 2021.01.09
1.8(금) 1차수령(11-14시) 안심도서대출서비스,대상 : 전체이용자,프로그램 기간 : 2021.01.08 ~ 2021.01.08
1.8(금) 2차수령(15-18시) 안심도서대출서비스,대상 : 전체이용자,프로그램 기간 : 2021.01.08 ~ 2021.01.08
1.7(목)1차수령(11-14시)안심도서대출서비스,대상 : 전체이용자,프로그램 기간 : 2021.01.07 ~ 2021.01.07
1.7(목) 2차수령(15-18시) 안심도서대출서비스 ,대상 : 전체이용자,프로그램 기간 : 2021.01.07 ~ 2021.01.07
1.6(수) 1차수령(11-14시) 안심도서대출서비스 ,대상 : 전체이용자,프로그램 기간 : 2021.01.06 ~ 2021.01.06
"1.6(수) 2,3차수령(15-18시) 안심도서대출서비스 ",대상 : 전체이용자,프로그램 기간 : 2021.01.06 ~ 2021.01.06
1.5(화) 1차수령(11-14시) 안심도서대출서비스 ,대상 : 전체이용자,프로그램 기간 : 2021.01.05 ~ 2021.01.05
1.3(일) 1차수령(11-14시) 안심도서대출서비스 ,대상 : 전체이용자,프로그램 기간 : 2021.01.03 ~ 2021.01.03
1.3(일) 2.3차수령(15-18시) 안심도서대출서비스 ,대상 : 전체이용자,프로그램 기간 : 2021.01.03 ~ 2021.01.03
2022년 북스타트 후속프로그램 책이랑아가랑 (북스타트  플러스 해당자),대상 : 19~21년생 돌 이후 유아와 양육자,프로그램 기간 : 2022.09.29 ~ 2022.09.29
영-롱! 반-짝! 나만의 자개 독서링,대상 : 초등 4-6학년,프로그램 기간 : 2022.09.18 ~ 2022.09.18
2022년 북스타트 후속프로그램 책이랑아가랑 (북스타트 해당자),대상 : 돌 이전 영아와 양육자,프로그램 기간 : 2022.09.15 ~ 2022.09.22
[9월] 월계도서관 자원봉사 사전교육,대상 : 중고등학생 및 성인,프로그램 기간 : 2022.09.06 ~ 2022.09.06
[2022 노원구 한 책 읽기] 채경화살롱 #1. 영화 <남매의 여름밤> GV,대상 : 누구나,프로그램 기간 : 2022.08.19 ~ 2022.08.19
(어르신을 위한) 처음 만나는 언택트시대,대상 : 어르신,프로그램 기간 : 2022.08.04 ~ 2022.08.27
[8월] 월계도서관 자원봉사 사전교육,대상 : 중고등학생 및 성인,프로그램 기간 : 2022.08.02 ~ 2022.08.02
「순례주택」 온라인 독서퀴즈대회(with 연세대학교 도서관희망원정대),대상 : 누구나,프로그램 기간 : 2022.07.27 ~ 2022.07.27
"지역 그림책 발간 기념 노원문화원과 함께하는 ""북콘서트""",대상 : 초등 1-3학년,프로그램 기간 : 2022.07.26 ~ 2022.07.26
[7월] 월계도서관 자원봉사 사전교육,대상 : 중고등학생 및 성인,프로그램 기간 : 2022.07.05 ~ 2022.07.05
2022 세계문화체험-캄보디아편,대상 : 초등,프로그램 기간 : 2022.06.26 ~ 2022.06.26
2022 세계문화체험-몽골편,대상 : 초등,프로그램 기간 : 2022.06.19 ~ 2022.06.19
[6월] 월계도서관 자원봉사 사전교육,대상 : 중고등학생 및 성인,프로그램 기간 : 2022.06.07 ~ 2022.06.07
[5월 가정의 달 행사] 요가패밀리,대상 : 어린이,프로그램 기간 : 2022.05.15 ~ 2022.05.15
[1차] RE:BIRTH 책_어린이,대상 : 어린이,프로그램 기간 : 2022.04.17 ~ 2022.04.17
[2차] RE:BIRTH 책_중학생 이상~,대상 : 중학생 이상~,프로그램 기간 : 2022.04.17 ~ 2022.04.17
우리들만의 선거『도서관 왕 뽑기』,대상 : 어린이~청소년,프로그램 기간 : 2022.03.10 ~ 2022.03.31
은은한 빛을 내는 전통 초롱등 만들기,대상 : 예비초등2-3학년,프로그램 기간 : 2022.01.26 ~ 2022.01.26
[개관기념행사] 빛과 모래로 떠나는 그림여행,대상 : 초등,프로그램 기간 : 2021.12.11 ~ 2021.12.11
"2021년 2차 어린이 책읽기 프로그램 ""책톡(그림책놀이터)"" ",대상 : 초등,프로그램 기간 : 2021.11.16 ~ 2021.11.25
여행작가와 함께 떠나는 온라인 여행,대상 : 성인,프로그램 기간 : 2021.11.10 ~ 2021.12.01
"2021년 1차 어린이 책읽기 프로그램 ""책톡(그림책놀이터)"" ",대상 : 초등,프로그램 기간 : 2021.11.02 ~ 2021.11.11
(어르신을 위한) 처음 만나는 언택트 시대,대상 : 어르신,프로그램 기간 : 2021.10.07 ~ 2021.11.25
2021년도 월계문화정보도서관 성인 인문학 <도서관 속 영화에세이>,대상 : 성인,프로그램 기간 : 2021.10.05 ~ 2021.11.23
"[노원한책] 다시, 환경 : 커피점토로 열쇠고리 만들기",대상 : 초등1-3학년,프로그램 기간 : 2021.09.15 ~ 2021.09.15
2021년 북스타트 후속프로그램 책이랑 아가랑 (북스타트 플러스 해당자),대상 : 성인,프로그램 기간 : 2021.09.10 ~ 2021.09.10
Do it! IoT,대상 : 초등 5학년 이상 청소년,프로그램 기간 : 2021.09.04 ~ 2021.10.30
2021년 북스타트 후속프로그램 책이랑 아가랑 (북스타트 해당자),대상 : 성인,프로그램 기간 : 2021.09.02 ~ 2021.09.09
[노원한책 ] 여름방학 독서캠프 : <라면을 먹으면 숲이 사라져> 최원형 작가와의 만남 / 환경을 생각하는 업사이클링,대상 : 초등고학년,프로그램 기간 : 2021.07.19 ~ 2021.07.19
"[노원한책] ""걷다 보면"" 이윤희 작가와의 만남 ",대상 : 초등 1-3,프로그램 기간 : 2021.06.30 ~ 2021.06.30
[초등4-6학년]방구석 세계속으로-베트남,대상 : 초등 4-6,프로그램 기간 : 2021.05.27 ~ 2021.05.27
3차[톡톡E 4차시] 원어민 선생님과 읽고 그리고(5/26),대상 : 초등3~청소년,프로그램 기간 : 2021.05.26 ~ 2021.05.26
[초등1-3학년]방구석 세계속으로-중국,대상 : 초등 1-3,프로그램 기간 : 2021.05.25 ~ 2021.05.25
3차[톡톡E 3차시] 원어민 선생님과 읽고 그리고(5/20),대상 : 초등3~청소년,프로그램 기간 : 2021.05.20 ~ 2021.05.20
3차[톡톡E 2차시] 원어민 선생님과 읽고 그리고(5/13),대상 : 초등3~청소년,프로그램 기간 : 2021.05.13 ~ 2021.05.13
3차[톡톡E 1차시] 원어민 선생님과 읽고 그리고(5/12),대상 : 초등3~청소년,프로그램 기간 : 2021.05.12 ~ 2021.05.12
Hi! 인공지능[B반-11:00~12:30],대상 : 초등 4-6,프로그램 기간 : 2021.05.08 ~ 2021.05.08
Hi! 인공지능[C반-13:30~15:00],대상 : 초등 4-6,프로그램 기간 : 2021.05.08 ~ 2021.05.08
2차 [톡톡E 4차시]원어민 선생님과 읽고 그리고(4/28) ,대상 : 초등3~청소년,프로그램 기간 : 2021.04.28 ~ 2021.04.28
2차 [톡톡E 3차시]원어민 선생님과 읽고 그리고(4/21) ,대상 : 초등3~청소년,프로그램 기간 : 2021.04.21 ~ 2021.04.21
2021년 아이와 함께 행복하게 읽는 맘,대상 : 성인,프로그램 기간 : 2021.04.20 ~ 2021.04.20
2차 [톡톡E 2차시]원어민 선생님과 읽고 그리고(4/14) ,대상 : 초등3~청소년,프로그램 기간 : 2021.04.14 ~ 2021.04.14
2차 [톡톡E 1차시]원어민 선생님과 읽고 그리고(4/7) ,대상 : 초등3~청소년,프로그램 기간 : 2021.04.07 ~ 2021.04.07
[톡톡E 4차_중급]원어민 선생님과 읽고 그리고(3/24) ,대상 : 초등3~청소년,프로그램 기간 : 2021.03.24 ~ 2021.03.24
[톡톡E 3차_초급]원어민 선생님과 읽고 그리고(3/17) ,대상 : 초등3~청소년,프로그램 기간 : 2021.03.17 ~ 2021.03.17
[톡톡E 2차_중급]원어민 선생님과 읽고 그리고(3/10) ,대상 : 초등3~청소년,프로그램 기간 : 2021.03.10 ~ 2021.03.10
[톡톡E 1차_초급]원어민 선생님과 읽고 그리고(3/3),대상 : 초등3~청소년,프로그램 기간 : 2021.03.03 ~ 2021.03.03
1.17(일) 1차수령(11-14시) 안심도서대출서비스  ,대상 : 누구나,프로그램 기간 : 2021.01.17 ~ 2021.01.17
1.16(토) 1차수령(11-14시) 안심도서대출서비스  ,대상 : 누구나,프로그램 기간 : 2021.01.16 ~ 2021.01.16
"1.16(토) 2,3차수령(15-18시) 안심도서대출서비스  ",대상 : 누구나,프로그램 기간 : 2021.01.16 ~ 2021.01.16
1.15(금) 1차수령(11-14시) 안심도서대출서비스  ,대상 : 누구나,프로그램 기간 : 2021.01.15 ~ 2021.01.15
"1.15(금) 2,3차수령(15-18시) 안심도서대출서비스  ",대상 : 누구나,프로그램 기간 : 2021.01.15 ~ 2021.01.15
1.14(목) 1차수령(11-14시) 안심도서대출서비스  ,대상 : 누구나,프로그램 기간 : 2021.01.14 ~ 2021.01.14
"1.14(목) 2,3차수령(15-18시) 안심도서대출서비스  ",대상 : 누구나,프로그램 기간 : 2021.01.14 ~ 2021.01.14
1.13(수) 1차수령(11-14시) 안심도서대출서비스  ,대상 : 누구나,프로그램 기간 : 2021.01.13 ~ 2021.01.13
"1.13(수) 2,3차수령(15-18시) 안심도서대출서비스  ",대상 : 누구나,프로그램 기간 : 2021.01.13 ~ 2021.01.13
1.12(화) 1차수령(11-14시) 안심도서대출서비스  ,대상 : 누구나,프로그램 기간 : 2021.01.12 ~ 2021.01.12
"1.12(화) 2,3차수령(15-18시) 안심도서대출서비스  ",대상 : 누구나,프로그램 기간 : 2021.01.12 ~ 2021.01.12
1.10(일) 1차수령(11-14시) 안심도서대출서비스  ,대상 : 누구나,프로그램 기간 : 2021.01.10 ~ 2021.01.10
"1.10(일) 2,3차수령(15-18시) 안심도서대출서비스  ",대상 : 누구나,프로그램 기간 : 2021.01.10 ~ 2021.01.10
"1.9(토) 2,3차수령(15-18시) 안심도서대출서비스  ",대상 : 누구나,프로그램 기간 : 2021.01.09 ~ 2021.01.09
1.8(금) 1차수령(11-14시) 안심도서대출서비스 ,대상 : 누구나,프로그램 기간 : 2021.01.08 ~ 2021.01.08
"1.8(금) 2,3차수령(15-18시) 안심도서대출서비스 ",대상 : 누구나,프로그램 기간 : 2021.01.08 ~ 2021.01.08
1.7(목) 1차수령(11-14시) 안심도서대출서비스  ,대상 : 누구나,프로그램 기간 : 2021.01.07 ~ 2021.01.07
"1.7(목) 2,3차수령(15-18시) 안심도서대출서비스  ",대상 : 누구나,프로그램 기간 : 2021.01.07 ~ 2021.01.07
1.6(수) 1차수령(11-14시) 안심도서대출서비스  ,대상 : 누구나,프로그램 기간 : 2021.01.06 ~ 2021.01.06
"1.6(수) 2,3차수령(15-18시) 안심도서대출서비스  ",대상 : 누구나,프로그램 기간 : 2021.01.06 ~ 2021.01.06
1.5(화) 1차수령(11-14시) 안심도서대출서비스 ,대상 : 누구나,프로그램 기간 : 2021.01.05 ~ 2021.01.05
"1.5(화) 2,3차수령(15-18시) 안심도서대출서비스 ",대상 : 누구나,프로그램 기간 : 2021.01.05 ~ 2021.01.05
1.3(일) 1차수령(11-14시) 안심도서대출서비스 ,대상 : 누구나,프로그램 기간 : 2021.01.03 ~ 2021.01.03
"1.3(일) 2,3차수령(15-18시) 안심도서대출서비스 ",대상 : 누구나,프로그램 기간 : 2021.01.03 ~ 2021.01.03
부모에게도 교육이 필요한 시대!_[4강] 아이를 변화시키는 부모의 말!,대상 : 성인,프로그램 기간 : 2022.09.28 ~ 2022.09.28
[북스타트힐링여행]아이들의 상상력을 키운다,대상 : 성인,프로그램 기간 : 2022.09.21 ~ 2022.09.21
"[일정변경]시야, 어디있니? 우리 함께 놀자",대상 : 초등 3~4학년,프로그램 기간 : 2022.09.15 ~ 2022.10.06
"부모에게도 교육이 필요한 시대!_[3강] 부모와 자녀의 행복한 소통, 가정에서 기르는 문해력",대상 : 성인,프로그램 기간 : 2022.09.14 ~ 2022.09.14
부모에게도 교육이 필요한 시대!_[2강] 부모와 아이 중 한 사람은 어른이어야 한다.,대상 : 성인,프로그램 기간 : 2022.09.07 ~ 2022.09.07
부모에게도 교육이 필요한 시대!_[1강] 아이의 뇌에 어떤 스토리를 심을 것인가?,대상 : 성인,프로그램 기간 : 2022.08.31 ~ 2022.08.31
아빠와 함께 하는 리듬톡톡 북놀이터,대상 : 성인,프로그램 기간 : 2022.08.28 ~ 2022.08.28
엄마와 함께 하는 리듬톡톡 북놀이터,대상 : 성인,프로그램 기간 : 2022.08.24 ~ 2022.08.24
[여름방학특별]경제야 놀자!,대상 : 초등 3~6학년,프로그램 기간 : 2022.08.10 ~ 2022.08.17
이야기가 있는 코딩,대상 : 초등 4~6학년,프로그램 기간 : 2022.08.02 ~ 2022.08.23
[여름방학특별]책읽GO 표현하GO,대상 : 초등,프로그램 기간 : 2022.08.02 ~ 2022.08.30
책읽GO 생각하GO_중학년,대상 : 초등 3~4학년,프로그램 기간 : 2022.07.27 ~ 2022.07.27
책읽GO 생각하GO_고학년,대상 : 초등 5~6학년,프로그램 기간 : 2022.07.12 ~ 2022.07.12
책읽GO 생각하GO_저학년,대상 : 초등 1~2학년,프로그램 기간 : 2022.07.08 ~ 2022.07.08
[칠교연극놀이]아가씨와 여우,대상 : 7~8세,프로그램 기간 : 2022.06.27 ~ 2022.06.27
도서관 펜팔 친구,대상 : 초등,프로그램 기간 : 2022.06.21 ~ 2022.07.21
업사이클링 클레이 화분 만들고 지구지킴이 되기,대상 : 8세~10세,프로그램 기간 : 2022.06.03 ~ 2022.06.03
[체험형동화구연]아기돼지 삼형제(5월21일_14시-15시),대상 : 5세-8세,프로그램 기간 : 2022.05.21 ~ 2022.05.21
[체험형동화구연]아기돼지 삼형제(5월21일_15시-16시),대상 : 5세-8세,프로그램 기간 : 2022.05.21 ~ 2022.05.21
달콤한 도서관 레시피,대상 : 6~7세,프로그램 기간 : 2022.05.14 ~ 2022.05.14
리딩인과 함께하는 책토리,대상 : 6~13세,프로그램 기간 : 2022.05.12 ~ 2022.08.13
[체험형동화구연]아기돼지 삼형제(5월7일_14시-15시),대상 : 5세-8세,프로그램 기간 : 2022.05.07 ~ 2022.05.07
[체험형동화구연]아기돼지 삼형제(5월7일_15시-16시),대상 : 5세-8세,프로그램 기간 : 2022.05.07 ~ 2022.05.07
[공연]어린이 매지컬: 마법전사 매직킹,대상 : 초등 1~6학년,프로그램 기간 : 2022.04.30 ~ 2022.04.30
(스무고개탐정과 함께 하는)추리독서클럽,대상 : 초등4~6학년,프로그램 기간 : 2022.04.07 ~ 2022.04.28
미디어 리터러시 바로알기,대상 : 초등 2~4학년,프로그램 기간 : 2022.03.26 ~ 2022.03.26
[책이랑 톡톡. 02] 진형민 작가를 만나다,대상 : 초등 4-6학년,프로그램 기간 : 2022.03.16 ~ 2022.03.16
[책이랑 톡톡. 01] 서현 작가를 만나다,대상 : 어린이,프로그램 기간 : 2022.02.17 ~ 2022.02.17
조물조물 크리스마스 장식만들기(1-2학년),대상 : 초등1-2학년,프로그램 기간 : 2021.12.15 ~ 2021.12.15
조물조물 크리스마스 장식만들기(3-6학년),대상 : 초등3-6학년,프로그램 기간 : 2021.12.15 ~ 2021.12.15
왁자지껄 토론연극 ,대상 : 초등 3~4학년,프로그램 기간 : 2021.12.04 ~ 2021.12.04
[공연]북극곰 예술여행,대상 : 초등1~6학년,프로그램 기간 : 2021.11.27 ~ 2021.11.27
남동윤 작가와 함께하는 만화교실,대상 : 초등3~6학년,프로그램 기간 : 2021.11.04 ~ 2021.11.04
(보고 들으며 느끼는)오감만족 북 콘서트,대상 : 초등,프로그램 기간 : 2021.10.31 ~ 2021.10.31
[음악놀이] 클래식이랑 놀자(5~6세),대상 : 5세~6세,프로그램 기간 : 2021.10.13 ~ 2021.10.13
[음악놀이] 클래식이랑 놀자(7~8세),대상 : 7세~8세,프로그램 기간 : 2021.10.13 ~ 2021.10.13
오세나 작가와 함께 하는 검정토끼,대상 : 초등2-3학년,프로그램 기간 : 2021.09.08 ~ 2021.09.08
동화작가 채인선의 하루 한장 <글쓰기 처방전>,대상 : 초등4~6학년,프로그램 기간 : 2021.09.02 ~ 2021.09.16
[여름방학 특별]방방콕콕 세계문화여행,대상 : 초등3-6학년,프로그램 기간 : 2021.08.10 ~ 2021.08.17
[어린이]반려 물고기 키우기,대상 : 초등 3~6학년,프로그램 기간 : 2021.07.21 ~ 2021.07.21
북스타트 기획 특강_전문가와 함께 하는 육아로드맵_3강 육아를 위한 그림책 읽는 방법 신청,대상 : 성인,프로그램 기간 : 2021.07.21 ~ 2021.07.21
북스타트 기획 특강_전문가와 함께 하는 육아로드맵_2강 꿈꾸는 아이의 그림책 놀이 신청,대상 : 성인,프로그램 기간 : 2021.07.14 ~ 2021.07.14
북스타트 기획 특강_전문가와 함께 하는 육아로드맵_1강 '영.유아기 자녀와 잘지내기' 신청,대상 : 성인,프로그램 기간 : 2021.07.07 ~ 2021.07.07
[유아]알록달록 그림책 놀이,대상 : 유아 6-7세,프로그램 기간 : 2021.06.24 ~ 2021.07.01
어린이를 위한 뉴스 바로 알기,대상 : 초등 4-6,프로그램 기간 : 2021.06.16 ~ 2021.06.16
[도.도.야] 일미터클래식 '행복한 르누아르와 반고흐',대상 : 초등1~6학년,프로그램 기간 : 2021.05.16 ~ 2021.05.16
[어린이책마을]달콤한 도서관 레시피 2강 ,대상 : 초등 3-4학년,프로그램 기간 : 2021.05.09 ~ 2021.05.09
