title,url
"홍천군노인복지관, 원거리지역 어르신 복지 접근성 향상 프로그램",http://www.shinailbo.co.kr/news/articleView.html?idxno=1599399
"진해 덕산동, 노인사회활동 참여자 안전교육 실시",http://www.shinailbo.co.kr/news/articleView.html?idxno=1598584
"인천시, ‘노인 일자리 종합평가’서 4년 연속 최우수",https://www.donga.com/news/article/all/20220914/115454754/1
"태풍 피해 순찰하던 해양경찰관들, 쓰러진 노인 살렸다",http://www.newsis.com/view/?id=NISX20220914_0002011983&cID=10809&pID=10800
"태백시, 노인복지기금 지원사업 본격 추진",http://www.breaknews.com/923772
"대한노인회 대전 유성구지회, 신기영 지회장 석전대제 초헌관 수행",http://www.100ssd.co.kr/news/articleView.html?idxno=90695
내년 저소득층·노인 등 사회적 약자에 예산 74조 지원...“복지 사각지대 해...,https://biz.chosun.com/policy/policy_sub/2022/09/08/2WDSGZ2JKFEZJJKEN4GLLNRSXI/?utm_source=naver&utm_medium=original&utm_campaign=biz
"‘깜깜이 연구용역’ 경남도 42% 미공개, 도교육청은 92% 수의계약 [의회소식...",http://www.kukinews.com/newsView/kuk202209130214
"전북은행, 금융 분야 전문 노인 일자리 창출",https://www.pressian.com/pages/articles/2022091414184519165?utm_source=naver&utm_medium=search
“노인 연령 올리자” KDI 제안… 정년연장 논의 불가피,https://news.kmib.co.kr/article/view.asp?arcid=0924262810&code=11151100&cp=nv
"""노인에서 청소년까지 확대"" 전주시, 고독사예방사업 추진",http://www.newsis.com/view/?id=NISX20220913_0002010853&cID=10899&pID=10800
코이카 글로벌인재교육원 영월서 후원활동 지속 전개,https://www.news1.kr/articles/4801103
"울산시, 북구 송정동에 제2시립노인복지관 건립",http://www.newsis.com/view/?id=NISX20220904_0002001926&cID=10814&pID=10800
"대한노인회 강원 속초시지회, 1·3세대가 함께하는 예절프로그램으로 즐거운 ...",http://www.100ssd.co.kr/news/articleView.html?idxno=90970
"남원소방서, 어린이 소방안전교육 실시",https://www.jjan.kr/article/20220915580164
"경남도의회 교육위원회, 노인요양시설 위문",http://www.gnnews.co.kr/news/articleView.html?idxno=509657
"산청교육청, 취약계층 민원서류 배달제 운영",http://www.gnnews.co.kr/news/articleView.html?idxno=509986
"동해시노인종합복지관, 2022년 노인사회활동지원사업 활동교육 실시",http://www.withinnews.co.kr/news/view.html?section=1&category=155&item=&no=28702
"산청교육지원청, 산엔청복지관에 사랑의 쌀 전달",http://www.enewstoday.co.kr/news/articleView.html?idxno=1598788
"한국교통안전공단, 고령자 맞춤 교통안전교육",https://www.inews365.com/news/article.html?no=731015
"진천 광혜원면 기업체협의회, 지역 노인회 간식비 전달",http://www.breaknews.com/923607
이천시. '중대재해처벌법 안전교육’ 실시,http://www.breaknews.com/924444
[14일 화성시 소식] '어린이 논 산책' 유아 인성교육 프로그램 재인증 등,https://www.asiatime.co.kr/article/20220914500205
책을 통해 교육을 실천하는 도서관학교,https://www.eroun.net/news/articleView.html?idxno=29603
"인천시, 전국 최초 4년 연속 '노인일자리 종합평가' 최우수상",https://www.cstimes.com/news/articleView.html?idxno=512213
"세종시교육청, 추석 맞아 사회복지시설 위문",https://www.news1.kr/articles/4793624
"대한노인회 충북 단양군지회, 9988행복지키미 활동·소양교육 실시",http://www.100ssd.co.kr/news/articleView.html?idxno=90515
"대한노인회 경기 이천시지회, 노인학대예방교육 실시",http://www.100ssd.co.kr/news/articleView.html?idxno=90790
"초고령화 1호 대도시, '노인과 부산'의 미래",http://weekly.chosun.com/news/articleView.html?idxno=21841
"영진전문대 평생교육원, 방문재활간호 아카데미 2기 개설",https://news.bbsi.co.kr/news/articleView.html?idxno=3081307
"제주서부소방서 영어교육도시119센터, 주택용 소방시설 지원신청제 집중홍보 ...",http://www.headlinejeju.co.kr/news/articleView.html?idxno=496281
"농식품유통교육원, 추석 맞이 지역상생 사회공헌 펼쳐",http://daily.hankooki.com/news/articleView.html?idxno=868991
"청주시사회복지급식관리지원센터, 입소 어르신 비대면 위생교육 진행",http://www.breaknews.com/923595
"대한노인회 전북 남원시지회, 노인지도자 교육 중 경로당회장 간담회 가져",http://www.100ssd.co.kr/news/articleView.html?idxno=90808
"포천우체국, 포천시노인복지관 노인 대상 추석명절나눔 및 보이스피싱 예방교...",https://www.nbntv.co.kr/news/articleView.html?idxno=992439
"인천시, 시민·행정 연결 중간지원조직...시민교육 이끈다",http://www.enewstoday.co.kr/news/articleView.html?idxno=1598276
"전주완산소방, 노인복지시설에서 심폐소생술 교육",http://www.domin.co.kr/news/articleView.html?idxno=1396062
