분관명,강좌명,대상,강좌기간,강좌장소
삼청,                        숲에서 놀자                        ,어린이,2022-06-19 ~ 2022-06-19,삼청공원 숲속도서관
우리,                        2022 한 주제로 함께 읽기:김유작가와의 만남 <마음버스 타고 놀자!>                        ,어린이,2022-07-02 ~ 2022-07-02,우리소리도서관 / ZOOM
국학,                        조해진 작가와의 만남 (6.14)- 길 위의 인문학 1부 2강                        ,성인,2022-06-14 ~ 2022-06-14,어린이청소년국학도서관 / Zoom
통인,                        6월 스토리텔링                        ,어린이,2022-06-20 ~ 2022-06-20,통인 어린이 작은 도서관
도담,                        작은 도서관 특별한 책읽기                        ,어린이,2022-06-02 ~ 2022-06-24,"도담도담, 숭인마루, 창이"
우리,                        우리 고전의 아름다운 성찬 : 우리고전미식회                        ,전연령,2022-07-07 ~ 2022-10-20,우리소리도서관
아름꿈,                        <길 위의 인문학> 동물과의 공존 편: 지속가능한 세상을 위해 동물과 함께 산다는 것                        ,청소년,2022-07-09 ~ 2022-08-13,아름꿈도서관 & 온라인 Zoom
통인,"                         6월: ""문화가 있는날"" 안내                        ",어린이,2022-06-24 ~ 2022-06-24,통인 어린이 작은 도서관
아름꿈,                        <길 위의 인문학> 동물 인문학 편: 지속가능한 세상을 위해 동물과 함께 산다는 것                        ,성인,2022-05-26 ~ 2022-06-30,아름꿈도서관 & 온라인Zoom
우리,"                        붓으로 퐁당~ 우리가족 그리기, 액자만들기                        ",어린이,2022-05-28 ~ 2022-05-28,우리소리도서관 4층 국악누리방
청운,                        생애주기별 프로그램 - 나도 북큐레이터 '마음을 치유하는 문학테라피'                        ,성인,2022-06-03 ~ 2022-06-24,청운문학도서관 다목적실
청운,                        가정의 달 초청 강연 - '드로잉 오뉴 작가와의 만남 - 육아 웹툰으로 만나는 육아이야기'                        ,성인,2022-05-21 ~ 2022-05-21,청운문학도서관 다목적실
전체,                        아빠엄마와 함께하는 북스타트 책놀이(1차시)                        ,어린이,2022-05-21 ~ 2022-05-21,줌(zoom)을 통한 비대면 프로그램
우리,                        가족과 함께 하는 작가와의 만남                        ,전연령,2022-05-14 ~ 2022-05-14,우리소리도서관 4층 국악누리방 및 온라인 ZOOM 프로그램
평창,                        감각을 일 깨우는 톡톡 책놀이                        ,어린이,2022-06-08 ~ 2022-06-29,꿈꾸는평창동 작은도서관
우리,"                        5월 가정의 달, 우리소리 체험                        ",전연령,2022-05-14 ~ 2022-05-14,우리소리도서관 4층 국악누리방
통인,                        사고력과 표현력을 쑥쑥 키우는 책놀이(초등프로그램)                        ,어린이,2022-05-25 ~ 2022-06-15,통인 어린이 작은 도서관
통인,                        감각을 일 깨우는 톡톡 책 놀이(유치 프로그램)                        ,어린이,2022-05-25 ~ 2022-05-15,통인 어린이 작은 도서관
효자,                        신나는 책읽기 지글보글 글쓰기                        ,어린이,2022-05-31 ~ 2022-07-05,청운효자동 북카페
도담,                        목소리 명작동화                        ,성인,2022-05-25 ~ 2022-05-25,도담도담 한옥도서관
통인,                        5월 스토리텔링 이벤트                        ,어린이,2022-05-16 ~ 2022-05-16,통인어린이작은도서관
창이,                        그림으로 만나는 동화                        ,전연령,2022-05-02 ~ 2022-05-23,창이 작은도서관
도담,                        가족의 가족을 뭐라고 부르지?                        ,어린이,2022-05-02 ~ 2022-05-13,"도담도담, 숭인마루, 창이"
국학,                        국학도서관 가정의 달 행사                        ,전연령,2022-04-30 ~ 2022-05-31,어린이청소년 국학도서관 외 종로일대
평창,"                        ""창의 책놀이 프로그램                        ",어린이,2022-05-04 ~ 2022-05-25,꿈꾸는평창동작은도서관
평창,                        창의 책놀이 프로그램                        ,어린이,2022-05-04 ~ 2022-05-25,꿈꾸는평창동작은도서관
통인,                        5월:문화가 있는 날 (테이블 연극)                        ,어린이,2022-05-27 ~ 2022-05-27,통인 어린이 작은 도서관
통인,                        어린이 독서 동아리                        ,어린이,2022-05-06 ~ 2022-05-20,통인 어린이 작은 도서관
우리,                        국악동화와 함께하는 이야기실뜨기                        ,어린이,2022-04-16 ~ 2022-04-16,우리소리도서관
국학,"                        초등독서동아리 ""추천목녹""                        ",어린이,2022-04-16 ~ 2022-12-17,어린이청소년 국학도서관 세미나실
통인,                        4월 스토리텔링 이벤트                        ,어린이,2022-04-18 ~ 2022-04-18,온라인 수업(웹엑스)
아름꿈,                        <슬기로운 아름꿈 생활> 저자강연①-②                        ,전연령,2022-04-15 ~ 2022-04-21,온라인Zoom & 아름꿈도서관
창이,"                        도전, 열두 달 북챌린지                        ",전연령,2022-04-04 ~ 2022-04-25,창이 작은도서관
아름꿈,                        사서와 함께하는 윤독모임 모집 안내                        ,성인,2022-04-19 ~ 2022-12-19,아름꿈도서관
아름꿈,                        4월 게릴라 독서모임 모집 안내                        ,성인,2022-04-28 ~ 2022-04-28,온라인(ZOOM)
청운,                        청운문학도서관 독서동아리원 모집                        ,전연령,2022-04-16 ~ 2022-12-24,청운문학도서관 창작2실
청운,                        청운문학도서관 2022 지역동아리 모집                        ,전연령,2022-03-22 ~ 2022-12-31,청운문학도서관 창작2실
아름꿈,                        어린이 서평 독서동아리 <우.책.소>                        ,어린이,2022-03-28 ~ 2022-07-25,아름꿈도서관
도담,                        그림으로 만나는 동화_원화 기획전시                        ,전연령,2022-03-21 ~ 2022-03-28,도담도담 한옥도서관
통인,                         3월 스토리텔링 이벤트 안내                        ,어린이,2022-03-21 ~ 2022-03-21,통인어린이작은도서관(화상)
우리,                        고전 소설 낭독극 창작 및 공연 참여자 모집                        ,성인,2022-03-16 ~ 2022-03-16,우리소리도서관
우리,"                        시조 쓰기, 고전 낭독극 만들기                        ",성인,2022-03-16 ~ 2022-03-16,우리소리도서관 
청운,                        생애주기별 프로그램 <나도 북큐레이터>                        ,성인,2022-04-01 ~ 2022-04-22,청운문학도서관 
국학,                        성인독서토론 <책으로 통하는 사람들>                        ,성인,2022-03-15 ~ 2022-12-13,온라인 Zoom/어린이청소년 국학도서관
아름꿈,                        (제9기) 그림책으로 만나는 영어스토리텔링                        ,전연령,2022-03-05 ~ 2022-06-18,온라인(ZOOM)
청운,                        엄마와 함께하는 여덟 살 글쓰기                        ,전연령,2022-02-15 ~ 2022-02-25,청운문학도서관
국학,                        고전 지식인의 삶과 독서 리더십                        ,전연령,2021-12-01 ~ 2021-12-29,어린이청소년 국학도서관
청운,                        <위대한 고독의 순간들> 라이브 북 토크                        ,전연령,2021-10-06 ~ 2021-10-06,온라인(ZOOM)
청운,                        2021 길 위의 인문학 <종로의 인문지리>                        ,전연령,2021-09-08 ~ 2021-11-10,종로문화재단 유튜브
우리,                        국악태교_우리는 곧 부모가 된다                        ,전연령,2021-09-30 ~ 2021-10-02,우리소리도서관
지혜,                        생각이 커가는 책놀이<1인분의 생각>                        ,어린이,2021-09-04 ~ 2021-09-25,온라인 줌(zoom)수업
청운,                        청운문학도서관 여름방학 프로그램 <청운 랜선 북캉스>                        ,어린이,2021-08-14 ~ 2021-08-28,청운문학도서관 온라인 교육
아름꿈,                        6월 환경의 달 <엄마는 북극 출장 중> 저자 강연                        ,전연령,2021-06-30 ~ 2021-06-30,온라인(Zoom)
아름꿈,                        6월 환경의 달 <북극곰 고미의 환경NGO 활동기> 저자 강연                        ,어린이,2021-06-26 ~ 2021-06-26,온라인(Zoom)
아름꿈,                        6월 환경의 달 <바다로 간 빨대> 저자 강연                        ,어린이,2021-06-26 ~ 2021-06-26,온라인(Zoom)
국학,                        국학청소년기자단 종로 길 위에서 만나는 역사 강연                        ,전연령,2021-06-12 ~ 2021-06-26,어린이청소년 국학도서관 온라인 플랫폼 Zoom
국학,                        국학청소년기자단 온라인 직업강연 '기자'                        ,전연령,2021-07-03 ~ 2021-07-10,어린이청소년국학도서관 온라인 플랫폼 Zoom
국학,                        국학청소년기자단 1기 모집 안내                        ,청소년,2021-06-12 ~ 2021-09-11,어린이청소년국학도서관 / 온라인 Zoom
국학,                         책으로 통하는 사람들(성인대상 독서토론 프로그램)                        ,성인,2021-05-28 ~ 2021-12-17,어린이청소년국학도서관
청운,                         동화 만들기                        ,어린이,2021-05-22 ~ 2021-05-30,청운문학도서관
청운,                        나와 내가 만나는 시간 그림책                        ,어린이,2021-05-15 ~ 2021-05-15,청운문학도서관
청운,                         다산처럼 읽고 연암처럼 써라                        ,전연령,2021-05-22 ~ 2021-05-22,청운문학도서관(온라인)
국학,"                         우리가 모르는 북한, 그들이 모르는 남한                        ",전연령,2021-05-04 ~ 2021-06-29,어린이청소년국학도서관
국학,                         종로구 한책선정단 모집                        ,전연령,2021-04-01 ~ 2021-04-01,어린이청소년국학도서관
