title,도서관,장소,신청/정원,교육기간,접수기간,수강료,대상
포디와 하부르타로 마음의 보석찾기,조천,온라인 비대면 수업,15/15 ,2021-10-16 ~ 2021-12-04,2021-09-29 ~ 2021-10-06,없음,초등학생
"<지구별을 품은 섬, 제주> (초등 3~6학년)",한경,한경도서관 1층 다목적실,12/15  (대기 : 5) ,2021-10-03 ~ 2021-10-24,2021-09-27 ~ 2021-09-30,,초등학생
이쁨을 엮다 <전통매듭 짚풀공예> (40세~70세),한경,한경도서관 1층 다목적실,13/15  (대기 : 5) ,2021-10-05 ~ 2021-10-14,2021-09-27 ~ 2021-09-30,0,실버
(추가 모집)중앙도서관 하반기 생활과학교실 <틴커캐드와 3D 프린터로 즐기..,중앙,중앙도서관 시청각실,1/4  (대기 : 2) ,2021-09-26 ~ 2021-12-05,2021-09-26 ~ 2021-10-23,무료,초등학생
「우리는 여행을 잊지 못하고」 안덕산방도서관 여행작가 김민철 작가와의 ..,안덕산방,비대면 운영(ZOOM),25/40  (대기 : 10) ,2021-10-12 ~ 2021-10-12,2021-09-23 ~ 2021-10-07,무료,도민
(1차) 우리동네 책방 기행「 작은책방은 힘이 세다」 강연..,중앙,비대면 운영(ZOOM),25/30  (대기 : 5) ,2021-10-02 ~ 2021-10-02,2021-09-23 ~ 2021-09-30,무료,성인(도민)
서부도서관 언택트 책처방 '나를 위한 북(BOOK)타민' 참여자 모집..,서부,,3/30 ,2021-09-17 ~ 2021-11-14,2021-09-17 ~ 2021-11-14,,도민
"함께 만드는 즐거운 코딩놀이(5, 6학년)",동부,비대면 온라인 교육(Zoom),6/11  (대기 : 5) ,2021-10-02 ~ 2021-10-30,2021-09-17 ~ 2021-09-30,무료,초등학생
"함께 만드는 즐거운 코딩놀이(3, 4학년)",동부,비대면 온라인 교육(Zoom),14/11  (대기 : 5) ,2021-11-03 ~ 2021-11-27,2021-09-17 ~ 2021-09-30,무료,초등학생
실무에 바로 쓰는 엑셀,동부,비대면 온라인 교육(Zoom),15/10  (대기 : 5) ,2021-10-05 ~ 2021-10-15,2021-09-17 ~ 2021-09-30,무료,성인(도민)
<디카시 쓰기> 프로그램 수강생 모집,중앙,온라인 비대면 수업(ZOOM 활용),23/20  (대기 : 5) ,2021-10-06 ~ 2021-11-10,2021-09-15 ~ 2021-09-30,무료,성인(도민)
북큐레이션의 이해와 적용(온라인),삼매봉,온라인 비대면(ZOOM),46/50  (대기 : 10) ,2021-09-27 ~ 2021-10-04,2021-09-09 ~ 2021-09-26,무료,성인(도민)
유병록 작가 북토크 <소에 대한 그리움을 담다>,삼매봉,온라인 비대면(ZOOM),8/10  (대기 : 5) ,2021-09-11 ~ 2021-09-11,2021-09-09 ~ 2021-09-11,무료,성인(도민)
(온라인)독서의 달 행사 '코로나19 시대 자녀와의 의사 소통' 참여자 모집..,제주시기적,온라인 줌(ZOOM)을 통한 실시간 강연,18/30 ,2021-09-18 ~ 2021-09-18,2021-09-09 ~ 2021-09-16,무료,성인(도민)
생활과학교실 틴커캐드와 3D 프린터로 즐기는 메이커스 활동..,중앙,중앙도서관 시청각실,9/10  (대기 : 3) ,2021-09-26 ~ 2021-12-05,2021-09-08 ~ 2021-09-25,무료,초등학생
