강좌명,대상,기간
이금이 소설가와의 만남(자양한강도서관 한강 문학 살롱) ZOOM 온라인 강의,전연령,2021.07.28(수)~2021.07.28(수)
조선시대 지식인의 북경로드; 연행(燕行) - ZOOM 온라인 강의,성인,2021.08.02(월)~2021.09.13(월)
"'마녀엄마','마녀체력' 이영미 작가와의 만남(광진정보도서관 저자와의 만남: 만남의 광장)",전연령,2021.08.11(수)~2021.08.11(수)
광진정보도서관 여름방학 독서교실,어린이,2021.08.11(수)~2021.08.13(금)
어린이 갈래별 글쓰기 생활: 독후감 편 (2021 3분기 광진정보도서관 교육문화프로그램),어린이,2021.07.29(목)~2021.08.19(목)
장바구니 인문학(ZOOM 온라인 강의),전연령,2021.08.02(월)~2021.08.30(월)
"[중곡][7~8월 인문학 특강] 반려 동물의 모든 것, 반려 동물의 인문학",성인,2021.07.28(수)~2021.07.28(수)
"팹 라이브러리에서 놀자!_매쉬믹서 3D프린터편(7/9, 7/16, 7/23 3회)",전연령,2021.07.09(금)~2021.07.23(금)
[2021년 3분기 초등 5~6학년 프로그램] 생각을 만드는 글쓰기[중곡],어린이,2021.07.22(목)~2021.09.09(목)
[중곡 2021년 3분기 초등 1~2학년 어린이를 위한 창의 철학 독서 미술 활동] 응답하라 청개구리,어린이,2021.07.23(금)~2021.09.10(금)
"[2021년 3분기 6~7세 유아 1인 및 보호자 1인] 아이와 함께, 이야기 놀이터",어린이,2021.07.21(수)~2021.09.08(수)
팹라이브러리 7월 <바다캔들 만들기  Do It Together! > 체험,전연령,2021.07.28(수)~2021.07.28(수)
팹 라이브러리 장비사용교육(7/24),전연령,2021.07.24(토)~2021.07.24(토)
팹 라이브러리 장비사용교육(7/10),전연령,2021.07.10(토)~2021.07.10(토)
[메이커-교육] 여름방학 웹툰 특강: 랜선여행툰 그리기(초등 1-3학년),어린이,2021.07.29(목)~2021.07.30(금)
문화가 있는 수요일: 7월 웹툰 창작 체험 '익숙한 소재로 엉뚱한 상상하기',전연령,2021.07.28(수)~2021.07.28(수)
2021 길 위의 인문학 <물길 따라 걷는 한강인문학> 참여자 모집,성인,2021.07.27(화)~2021.10.26(화)
슬기로운 취준생활 3 _ 경력단절 여성 내일 이음 프로그램,성인,2021.07.06(화)~2021.07.06(화)
[메이커-교육] 웹툰창작 중급반 참가자 모집,어린이,2021.06.27(일)~2021.09.05(일)
'한강 문학 살롱' 황인찬 시인과의 만남(ZOOM 온라인),전연령,2021.06.30(수)~2021.06.30(수)
[메이커-교육/신나G 토요스쿨] 3D 공작소: 3D 모델링 창의교육,어린이,2021.07.17(토)~2021.09.25(토)
[메이커-교육] 우리 가족만의 드론 만들기,전연령,2021.08.08(일)~2021.08.29(일)
다문화가정 여성을 위한 <다문화 동화 강사단 양성반> ,성인,2021.07.02(금)~2021.12.10(금)
미지의 세계를 찾아가는 고고학(ZOOM 온라인 강의),전연령,2021.07.05(월)~2021.07.26(월)
[메이커-체험] 팹라이브러리 '3D펜으로 쉽게 만드는 나만의 그립톡',전연령,2021.06.10(목)~2021.06.28(월)
[메이커-교육] 그림책과 함께하는 유쾌한 코딩(온라인),어린이,2021.07.03(토)~2021.09.04(토)
[메이커-작업] 성인창작 <오토마타와 아두이노>,성인,2021.06.27(일)~2021.09.05(일)
"팹 라이브러리에서 놀자!_매쉬믹서 3D프린터편(6/13,6/20 2회차)",전연령,2021.06.13(일)~2021.06.20(일)
"팹 라이브러리에서 놀자!_매쉬믹서 3D프린터편(6/11,6/18 2회차)",전연령,2021.06.11(금)~2021.06.18(금)
[메이커-작업]내 손으로 직접 만드는 '나만의 가죽 키링&책갈피' ,전연령,2021.06.23(수)~2021.06.23(수)
팹라이브러리 6월 < 우드버닝  Do It Together! > 체험 프로그램,전연령,2021.06.30(수)~2021.06.30(수)
문화가 있는 수요일: 6월 웹툰 창작 체험,전연령,2021.06.30(수)~2021.06.30(수)
팹 라이브러리 장비사용교육(6/19),전연령,2021.06.19(토)~2021.06.19(토)
팹 라이브러리 장비사용교육(6/12),전연령,2021.06.12(토)~2021.06.12(토)
"2021년 중곡문화체육센터도서관 독서 아카데미 [예술의 모든 것, 미학으로 사유하기]",성인,2021.06.17(목)~2021.09.23(목)
"[메이커-교육] 그림책으로 알아보는 우리 아이의 MAP, 성인 북아트 (온라인 수업)",성인,2021.06.15(화)~2021.07.01(목)
[메이커-교육] 웹툰창작 청소년 특강,청소년,2021.06.19(토)~2021.08.21(토)
여행과 지리: 세계여행 준비하기(Zoom 온라인 강의),전연령,2021.06.17(목)~2021.07.15(목)
[메이커-교육] 웹툰창작 성인반 참가자 모집 (비대면 온라인 수업),성인,2021.06.17(목)~2021.08.19(목)
<서울 북스타트 부모교육 1> 뇌발달과 부모의 역할,성인,2021.06.09(수)~2021.06.09(수)
<슬기로운 취준생활 2> - 퍼스널 컬러 이미지 블렌딩,성인,2021.05.27(목)~2021.05.27(목)
2021 도서관 지혜학교 ,성인,2021.06.02(수)~2021.08.18(수)
심리학으로 보는 조선왕조실록(Zoom 온라인 강의),전연령,2021.06.07(월)~2021.06.28(월)
(추가모집)처음 만나는 한국사 북아트 [2021 광진정보도서관 교육문화프로그램],어린이,2021.05.15(토)~2021.06.26(토)
(추가모집)환경 UP 창의력 UP 어린이'업사이클링' [2021 광진정보도서관 교육문화프로그램],어린이,2021.05.15(토)~2021.05.29(토)
[중곡 1~2학년 어린이를 위한 창의 철학 독서 미술 활동] 응답하라 청개구리,어린이,2021.05.13(목)~2021.06.10(목)
"[6~7세 유아 및 보호자 대상] 아이와 함께, 이야기 놀이터 (ZOOM온라인 참여 프로그램)",어린이,2021.05.12(수)~2021.06.16(수)
(추가모집)환경 UP 창의력 UP 어린이'업사이클링' [2021 광진정보도서관 교육문화프로그램],어린이,2021.05.08(토)~2021.05.29(토)
2021 독서동아리 리더 보수교육-에세이 쓰기,성인,2021.05.07(금)~2021.07.09(금)
(추가모집)처음 만나는 한국사 북아트 [2021 광진정보도서관 교육문화프로그램],어린이,2021.05.08(토)~2021.06.26(토)
2021 광진정보도서관 부모교육 '한 명의 아동청소년을 이해하고 사랑하기 위해 알아야 할 것',성인,2021.05.24(월)~2021.05.31(월)
[중곡][그림책 작가와의 만남]가족의 탄생_ '유기견 영남이'의 유진 작가와 함께하는 드로잉 놀이,어린이,2021.05.22(토)~2021.05.22(토)
5월 가정의 달 심리학 특강 '나는 어떻게 만들어지는가',성인,2021.05.25(화)~2021.05.25(화)
"김성회 저자와의 만남: 센 세대 VS 낀 세대 VS 신세대, 공존의 기술 (ZOOM 온라인 강의)",전연령,2021.05.18(화)~2021.05.18(화)
[메이커-교육] 웹툰창작 초급반 참가자 모집,어린이,2021.05.23(일)~2021.08.01(일)
가정의 달 특강 이임숙의 <아이의 마음을 여는 부모의 말>,성인,2021.05.07(금)~2021.05.07(금)
문화가 있는 수요일: 5월 웹툰 창작 체험,전연령,2021.05.26(수)~2021.05.26(수)
팹 라이브러리 장비사용교육(5/29),전연령,2021.05.29(토)~2021.05.29(토)
팹 라이브러리 장비사용교육(5/15),전연령,2021.05.15(토)~2021.05.15(토)
팹라이브러리 5월 < 전사 컵 만들기 Do It Together! > 매마수 프로그램,전연령,2021.05.26(수)~2021.05.26(수)
< 팹라 원데이_어버이날 카네이션 석고방향제 Do It Together! > 2회차,전연령,2021.05.06(목)~2021.05.06(목)
< 팹라 원데이_어버이날 카네이션 석고방향제 Do It Together! > 1회차,전연령,2021.05.06(목)~2021.05.06(목)
<팹 라이브러리에서 놀자!_레이저커팅기 편(모빌 만들기)>,전연령,2021.05.21(금)~2021.05.28(금)
'한강 문학 살롱' <어린이라는 세계> 김소영 작가와의 만남(ZOOM 온라인),전연령,2021.05.28(금)~2021.04.28(수)
환경 UP 창의력 UP 어린이'업사이클링' [2021 광진정보도서관 교육문화프로그램],어린이,2021.05.08(토)~2021.05.29(토)
와글와글 과학놀터 [2021 광진정보도서관 교육문화프로그램],어린이,2021.05.08(토)~2021.06.26(토)
처음 만나는 한국사 북아트 [2021 광진정보도서관 교육문화프로그램],어린이,2021.05.08(토)~2021.06.26(토)
피아니스트 임하나의 클래식테라피(ZOOM 온라인 강의),전연령,2021.05.14(금)~2021.05.14(금)
2021년 상반기 광진정보도서관 청소년독서회(중학교 2~3학년),청소년,2021.04.18(일)~2021.07.18(일)
2021년 '한강 문학 살롱' 나태주 시인과의 만남(ZOOM 온라인),전연령,2021.04.21(수)~2021.04.21(수)
2021년 상반기 광진정보도서관 청소년 독서회(중학교 1학년),청소년,2021.04.10(토)~2021.07.24(토)
[메이커-교육] 웹툰창작 중급반 참가자 모집,어린이,2021.04.11(일)~2021.06.20(일)
책 먹는 여우!(2021년 중곡문화체육센터도서관 제57회 도서관주간 기념 작은 공연),어린이,2021.04.24(토)~2021.04.24(토)
[중곡]그림 책 한 권의 힘 (2021년 57회 도서관주간 특별 강의),성인,2021.04.21(수)~2021.04.21(수)
"<근현대문학 특강: 백석, 이상, 윤동주, 이효석을 읽다> 자양한강도서관 한가람인문학 1(ZOOM 온라인)",전연령,2021.04.22(목)~2021.04.22(목)
"<동아시아 근대문학 특강: 이광수, 루쉰, 나쓰메 소세키> 자양한강도서관 한가람인문학 2(ZOOM 온라인)",전연령,2021.05.27(목)~2021.06.10(목)
글쓰기 쉬워지는 강원국의 글쓰기 특강(자양한강도서관 도서관주간 프로그램/ZOOM 온라인) ,전연령,2021.04.13(화)~2021.04.13(화)
문화가 있는 수요일: 4월 웹툰 창작 체험,전연령,2021.04.28(수)~2021.04.28(수)
팹 라이브러리에서 놀자!_리쏘페인 3D프린터편(4/30),전연령,2021.04.30(금)~2021.04.30(금)
팹 라이브러리에서 놀자!_리쏘페인 3D프린터편(4/16),전연령,2021.04.16(금)~2021.04.16(금)
팹 라이브러리 장비사용교육(4/17),전연령,2021.04.17(토)~2021.04.17(토)
팹 라이브러리 장비사용교육(4/10),전연령,2021.04.10(토)~2021.04.10(토)
팹라이브러리 4월 <3D펜 체험> 매마수 프로그램,전연령,2021.04.28(수)~2021.04.28(수)
실버이야기교실 13기,성인,2021.05.12(수)~2021.11.10(수)
[서울형 독서문화 프로그램] 2021년 실버독서회(책으로 On) ,성인,2021.05.07(금)~2021.12.31(금)
[메이커-교육/신나G 토요스쿨] 3D 공작소: 3D 모델링 창의교육,어린이,2021.04.17(토)~2021.06.26(토)
"강문종 저자와의 만남: 2021 광진정보도서관 저자와의 만남, 만남의 광장 (ZOOM 온라인 강의)",전연령,2021.04.05(월)~2021.04.05(월)
자양한강도서관 '한강 문학 살롱' 손보미 작가와의 만남(ZOOM 온라인),전연령,2021.03.31(수)~2021.03.31(수)
자서전 쓰기 '가장 소중한 내 인생' 참가자 모집,전연령,2021.04.09(금)~2021.12.31(금)
[중곡]청소년과 함께하는 꿈을 찾는 <진로수업>,청소년,2021.03.06(토)~2021.03.27(토)
[메이커-교육] 웹툰창작 성인반 참가자 모집,성인,2021.04.01(목)~2021.06.03(목)
문화가 있는 수요일: 3월 웹툰 창작 체험,전연령,2021.03.31(수)~2021.03.31(수)
"팹라이브러리 3월 < 손거울, 뱃지, 컵  Do It Together! > 매마수 프로그램",전연령,2021.03.31(수)~2021.03.31(수)
팹 라이브러리에서 놀자!(페이퍼커팅기 편),전연령,2021.03.26(금)~2021.03.26(금)
팹 라이브러리 장비사용교육(3/27),전연령,2021.03.27(토)~2021.03.27(토)
팹 라이브러리 장비사용교육(3/6),전연령,2021.03.06(토)~2021.03.06(토)
[중곡]<커피의 세계사 :  오감으로 즐기는 커피 인문학> 프로그램 ,성인,2021.03.09(화)~2021.04.06(화)
[추가모집 5명] 2021년 중곡문화체육센터도서관 연극놀이 프로젝트 <내가 만드는 이야기>,어린이,2021.02.24(수)~2021.03.24(수)
2021 광진정보도서관 도시농업학교 참여자 모집,전연령,2021.03.06(토)~2021.11.27(토)
팹 라이브러리에서 놀자!(3D프린터 편),전연령,2021.02.19(금)~2021.02.26(금)
문화가 있는 수요일: 웹툰 창작 체험,전연령,2021.02.24(수)~2021.02.24(수)
팹 라이브러리 장비사용교육(2/27),전연령,2021.02.27(토)~2021.02.27(토)
팹 라이브러리 장비사용교육(2/6),전연령,2021.02.06(토)~2021.02.06(토)
팹라이브러리 2월 < 전사 컵 만들기 Do It Together! > 매마수 프로그램,전연령,2021.02.24(수)~2021.02.24(수)
"자양한강도서관 '마음, 들여다보기' 정신의학 특강(윤홍균/전홍진/하주원 전문의, ZOOM 온라인)",전연령,2021.02.04(목)~2021.02.17(수)
[메이커-교육] 3D 공작소: 3D 모델링 창의교육,어린이,2021.01.30(토)~2021.04.10(토)
사건과 인물로 읽는 <사기> (ZOOM 온라인 강의),전연령,2021.02.01(월)~2021.03.29(월)
자양한강도서관 어린이 프로그램 「집으로 ON 그림책극장」,어린이,2021.01.23(토)~2021.02.04(목)
[메이커-작업] 성인창작(3D프린터 모델링/팅커캐드) 팹라이브러리 프로그램 참가자 모집,성인,2021.01.17(일)~2021.03.28(일)
"자양한강도서관 2021년 인문학프로그램 '트렌드코리아 2021, 새로운 시대를 읽다' 최지혜 강연(ZOOM 온라인)",전연령,2021.01.08(금)~2021.01.19(화)
[메이커-교육] 웹툰창작 성인반 참가자 모집,성인,2021.01.07(목)~2021.03.18(목)
"방구석 랜선 여행 2 - 여행, 그림이 되다(ZOOM 온라인 강의)",전연령,2021.01.04(월)~2021.01.25(월)
2021년 광진정보도서관 겨울 독서교실 <기후는 변하는데 놀면 뭐하니?>,어린이,2021.01.12(화)~2021.01.14(목)
