강좌명,대상,기간
[팹라이브러리] 장비사용안전교육(6/11),전연령,2022.06.11(토)~2022.06.11(토)
6월 문화가 있는 수요일 웹툰 창작 체험: 사파리 여행툰 그리기,전연령,2022.06.29(수)~2022.06.29(수)
[팹라이브러리] 매월(6월) 마지막 주 문화가 있는 수요일 <나만의 우드버닝 작품만들기> ,전연령,2022.06.29(수)~2022.06.29(수)
[온라인]2022 광진정보도서관 일상에서 만나는 인문학 <난처한 동양미술 이야기>,전연령,2022.06.03(금)~2022.07.08(금)
문해력 글쓰기 트레이닝(2022년 광진정보도서관 교육문화프로그램 2차),어린이,2022.06.02(목)~2022.07.07(목)
사진 읽어주는 도서관: 스마트폰으로 사진 잘 찍기(성인)(2022년 광진정보도서관 교육문화프로그램 2차),성인,2022.06.02(목)~2022.07.21(목)
[메이커-교육] 웹툰창작 성인반 참가자 모집,성인,2022.06.09(목)~2022.08.11(목)
한 주제로 함께 읽기 서포터즈 모집,전연령,2022.06.02(목)~2022.12.31(토)
[오프라인] 뮤키디오 콘서트<오늘의 난 미지근하게 축제>,성인,2022.05.28(토)~2022.05.28(토)
[중곡 온라인]  이남옥 교수 특강 <가족: 가장 가까이에 나와 닮은 타인들> 행복한 가족은 무엇이 다를까,전연령,2022.05.26(목)~2022.05.26(목)
[온라인] 2022 광진정보도서관 트렌디 인문학 <미래를 읽는 경제아카데미>,전연령,2022.05.16(월)~2022.09.05(월)
[온라인] '한강 문학 살롱' 김남희 작가와의 만남,전연령,2022.05.30(월)~2022.05.30(월)
[미디어창작공간] 5월: OBS를 활용한 책 소개 영상 제작,성인,2022.05.21(토)~2022.05.21(토)
[온라인] 광진정보도서관 작가와의 만남 <일생도서관: 5월 김범준 작가> ,전연령,2022.05.13(금)~2022.05.13(금)
[오프라인] 광진정보도서관 작가와의 만남 <일생도서관: 5월 김범준 작가> ,전연령,2022.05.13(금)~2022.05.13(금)
5월 문화가 있는 수요일 웹툰 창작 체험: 가족 일상툰 그리기,전연령,2022.05.25(수)~2022.05.25(수)
[온라인] 2022년 자양한강도서관 한가람인문학(1) <클래식은 처음이라>,전연령,2022.05.03(화)~2022.06.21(화)
