,지역,title,target
78,마포구,[장애인 행사주간] 배리어프리영화상영 「드림빌더」,전연령
79,마포구,"[장애인 행사주간] 장애인 인권영화 감독과의 만남 「학교가는 길, 김정인 감독」",어린이
80,마포구,[장애인 행사주간] 배리어프리영화상영 「미라클 벨리에」,전연령
81,마포구,[장애인 행사주간] 어린이 수어교실「손으로 말하는 동화」,어린이
82,마포구,우크라이나-러시아 관계의 역사적 전개 [마중도 인문학 살롱 특강 1회차] ,전연령
83,마포구,[책읽는아이] 내 마음 ㅅㅅㅎ <김지영 작가와의 만남>,어린이
84,마포구,"2022년 마포중앙도서관 어린이 독서 동아리 회원 모집 안내(초등 5,6학년)",어린이
85,마포구,"2022년 마포중앙도서관 어린이 독서 동아리 회원 모집 안내(초등 3,4학년)",어린이
86,마포구,[인문학 살롱] 조선시대 여문열전 '낭중지추'_글로벌 작가 '난설헌',전연령
87,마포구,[제58회 도서관 주간] 쉽게 하는 글쓰기_강연,전연령
88,마포구,[제58회 도서관 주간] 이순신 북아트 만들기_체험,어린이
89,마포구,[인문학 살롱] 조선시대 여문열전 '낭중지추'_광주 이씨편,전연령
90,마포구,[제58회 도서관 주간] 책과 친해지는 독서법_강연,전연령
91,마포구,[어린이 다문화 상호이해 프로그램] (취소인원 추가 접수) 음악으로 만나는 다문화세상,어린이
92,마포구,[어린이 다문화 상호이해 프로그램] 음악으로 만나는 다문화세상,어린이
93,마포구,[인문학 살롱_서양편] 다시보는 중세이야기  (주제도서: 중세를 오해하는 현대인들에게),전연령
94,마포구,[인문학 살롱-우리나라편] 21세기에 돌아보는 ‘대한민국 임시정부가 역사와 헌법에 남긴 유산',전연령
95,마포구,[어린이자료실 재개관 기념] 서현 작가와의 만남,어린이
96,마포구,[어린이자료실 재개관 기념] 나만의 팝업북 만들기,어린이
97,마포구,[2022 겨울 독서교실] 지구를 지키는 독서탐험대,어린이
98,마포구,[제11회 책축제] 책장넘겨 떠나볼까? 랜선투어 - 스페인 바르셀로나,전연령
99,마포구,[제11회 책축제] 라이너 영화평론가 특강 <다시 듣고 보고 가다 - 영화 > ,전연령
100,마포구,[제11회 책축제] <다시 듣고 보고 가다 - 여행편 >김소담 여행작가 북토크 ,전연령
101,마포구,[제11회 책축제] 책장넘겨 떠나볼까? 랜선투어 - 비엔나 로망스 투어,전연령
102,마포구,[제11회 책축제] 송사비 음악크리에이터 특강 <다시 듣고 보고 가다 - 음악 > ,전연령
